ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
11376922 -115.385 32.692 11.69 1.9 -115.378 32.684 0.126 13.998
37209751 -115.387 32.696 12.23 2.2 -115.378 32.685 0.127 14.119
37336559 -115.386 32.695 12.27 1.9 -115.378 32.685 0.127 14.130
37441927 -115.378 32.687 12.91 1.5 -115.377 32.686 0.128 14.226
37381437 -115.377 32.686 12.96 1.4 -115.377 32.686 0.128 14.238
37979056 -115.389 32.698 11.64 1.6 -115.378 32.685 0.127 14.095
39204208 -115.388 32.698 12.15 1.8 -115.377 32.685 0.128 14.179
39764224 -115.379 32.690 12.11 1.6 -115.376 32.686 0.129 14.359
39914567 -115.384 32.692 11.92 1.9 -115.378 32.685 0.127 14.082
