ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14567964 -115.406 32.745 11.31 1.2 -115.405 32.746 0.228 25.387
14569884 -115.407 32.746 11.26 1.9 -115.405 32.747 0.227 25.233
10526349 -115.406 32.744 11.53 1.2 -115.404 32.745 0.229 25.480
25221759 -115.406 32.745 11.31 1.6 -115.405 32.746 0.228 25.387
10529021 -115.406 32.745 11.54 1.8 -115.405 32.746 0.228 25.387
10529965 -115.406 32.746 11.14 1.6 -115.405 32.747 0.227 25.294
10529989 -115.408 32.747 10.88 1.2 -115.406 32.748 0.226 25.079
10530325 -115.407 32.746 11.42 1.6 -115.405 32.747 0.227 25.233
10530501 -115.407 32.747 10.90 1.6 -115.406 32.748 0.226 25.140
10530637 -115.408 32.747 11.07 1.7 -115.406 32.748 0.226 25.079
10530957 -115.408 32.748 11.12 1.8 -115.407 32.749 0.225 24.986
10535613 -115.409 32.749 11.29 3.3 -115.407 32.750 0.223 24.832
10535621 -115.409 32.749 11.26 1.3 -115.407 32.750 0.223 24.832
10536037 -115.405 32.743 11.25 2.6 -115.403 32.744 0.231 25.634
10536109 -115.408 32.749 11.45 2.1 -115.407 32.750 0.224 24.893
10536253 -115.411 32.751 11.13 2.1 -115.409 32.752 0.221 24.524
10536389 -115.406 32.746 11.16 1.8 -115.405 32.747 0.227 25.294
10536405 -115.411 32.752 10.98 2.2 -115.409 32.753 0.220 24.431
10536429 -115.411 32.752 10.94 1.7 -115.409 32.753 0.220 24.431
10536549 -115.410 32.752 10.92 1.4 -115.409 32.753 0.220 24.492
10536581 -115.410 32.751 10.96 1.9 -115.409 32.752 0.221 24.585
10536629 -115.407 32.747 10.60 3.1 -115.406 32.748 0.226 25.140
10536637 -115.407 32.747 11.16 2.4 -115.406 32.748 0.226 25.140
10536645 -115.411 32.752 10.96 2.8 -115.409 32.753 0.220 24.431
14584764 -115.409 32.749 11.14 1.9 -115.407 32.750 0.223 24.832
14584772 -115.408 32.748 11.21 1.8 -115.407 32.749 0.225 24.986
14587500 -115.404 32.745 10.63 1.9 -115.404 32.745 0.229 25.509
10545293 -115.408 32.748 10.72 1.5 -115.407 32.749 0.225 24.986
10545301 -115.407 32.747 10.82 1.4 -115.406 32.748 0.226 25.140
14597732 -115.466 32.823 9.21 1.5 -115.459 32.828 0.130 14.474
14615660 -115.447 32.801 8.87 2.5 -115.443 32.804 0.159 17.679
10183330 -115.447 32.802 8.84 1.8 -115.443 32.805 0.158 17.586
10182690 -115.446 32.800 8.68 2.2 -115.442 32.803 0.160 17.833
10183430 -115.446 32.801 8.91 2.5 -115.442 32.803 0.160 17.740
37005063 -115.449 32.798 9.04 0.5 -115.442 32.803 0.160 17.836
10602213 -115.467 32.825 9.32 1.9 -115.460 32.830 0.128 14.227
37230413 -115.468 32.826 9.31 2.0 -115.461 32.831 0.127 14.073
10791493 -115.452 32.802 8.95 1.2 -115.445 32.807 0.155 17.281
10791525 -115.452 32.803 8.96 1.9 -115.445 32.808 0.155 17.188
10792741 -115.408 32.750 10.96 0.8 -115.407 32.750 0.223 24.800
10792901 -115.407 32.749 10.90 1.4 -115.407 32.749 0.224 24.954
10792957 -115.407 32.749 10.89 1.1 -115.407 32.749 0.224 24.954
10825333 -115.435 32.785 10.67 1.6 -115.432 32.787 0.179 19.899
14871676 -115.436 32.780 9.49 1.5 -115.430 32.784 0.183 20.302
14871796 -115.436 32.779 9.35 1.9 -115.429 32.783 0.183 20.395
14871804 -115.436 32.781 9.56 2.0 -115.430 32.785 0.182 20.209
14871916 -115.434 32.777 9.66 1.8 -115.428 32.781 0.186 20.703
14871924 -115.433 32.776 9.67 1.5 -115.427 32.780 0.188 20.857
14872260 -115.431 32.774 10.22 1.4 -115.425 32.778 0.190 21.165
14872284 -115.430 32.774 10.27 1.4 -115.425 32.777 0.191 21.226
11035149 -115.431 32.777 10.95 1.8 -115.427 32.780 0.188 20.886
15147449 -115.442 32.794 9.90 1.7 -115.438 32.797 0.168 18.635
15153305 -115.428 32.770 10.59 1.3 -115.423 32.773 0.195 21.720
37090596 -115.429 32.771 10.35 0.9 -115.423 32.775 0.194 21.566
11249498 -115.459 32.813 9.54 1.7 -115.452 32.818 0.142 15.831
11249514 -115.459 32.814 9.53 2.3 -115.452 32.818 0.142 15.738
11367610 -115.420 32.756 10.51 1.7 -115.414 32.760 0.211 23.509
11389162 -115.470 32.834 8.53 1.3 -115.465 32.837 0.119 13.208
37215568 -115.450 32.801 9.25 1.5 -115.444 32.805 0.157 17.496
37268280 -115.466 32.823 9.34 1.4 -115.459 32.828 0.130 14.474
37279239 -115.435 32.780 9.70 1.4 -115.429 32.784 0.183 20.363
37280167 -115.434 32.777 9.62 1.7 -115.428 32.781 0.186 20.703
37280183 -115.434 32.778 9.62 1.8 -115.428 32.782 0.185 20.610
37280535 -115.433 32.776 9.41 2.5 -115.427 32.780 0.188 20.857
37280543 -115.436 32.780 9.34 2.5 -115.430 32.784 0.183 20.302
37280551 -115.434 32.777 9.39 1.3 -115.428 32.781 0.186 20.703
37280575 -115.431 32.775 10.02 1.5 -115.426 32.778 0.190 21.072
37280583 -115.437 32.781 9.18 1.6 -115.430 32.785 0.181 20.148
37280647 -115.441 32.785 9.12 1.3 -115.434 32.790 0.176 19.532
37280671 -115.431 32.775 9.97 1.5 -115.426 32.778 0.190 21.072
37280719 -115.431 32.774 9.97 2.5 -115.425 32.778 0.190 21.165
37280735 -115.442 32.787 9.17 1.8 -115.435 32.792 0.173 19.285
37280751 -115.443 32.788 9.00 1.9 -115.436 32.793 0.172 19.131
37280831 -115.431 32.774 9.66 1.6 -115.425 32.778 0.190 21.165
37498512 -115.430 32.772 10.19 1.7 -115.424 32.776 0.193 21.412
37501472 -115.440 32.790 9.86 1.5 -115.436 32.793 0.172 19.129
37567920 -115.458 32.811 9.05 1.8 -115.451 32.816 0.145 16.078
37568584 -115.460 32.814 9.03 1.6 -115.453 32.819 0.141 15.677
37568632 -115.462 32.817 8.85 1.8 -115.455 32.822 0.137 15.276
37568680 -115.460 32.814 9.10 1.6 -115.453 32.819 0.141 15.677
37140532 -115.460 32.814 9.57 1.6 -115.453 32.819 0.141 15.677
37568704 -115.460 32.814 9.57 1.9 -115.453 32.819 0.141 15.677
37140716 -115.442 32.789 9.29 1.6 -115.436 32.793 0.172 19.099
37574928 -115.442 32.789 9.49 1.5 -115.436 32.793 0.172 19.099
37574960 -115.442 32.790 9.27 2.1 -115.436 32.794 0.171 19.007
37575328 -115.443 32.791 9.22 1.7 -115.437 32.795 0.170 18.852
37140804 -115.443 32.791 9.13 1.5 -115.437 32.795 0.170 18.852
37718040 -115.474 32.837 8.65 1.5 -115.467 32.841 0.114 12.685
37718280 -115.468 32.826 8.68 2.0 -115.461 32.831 0.127 14.073
37742016 -115.452 32.804 9.15 1.4 -115.446 32.808 0.154 17.095
37606719 -115.411 32.754 10.26 1.8 -115.410 32.755 0.218 24.245
37606903 -115.410 32.753 10.21 1.2 -115.409 32.753 0.219 24.399
37643711 -115.450 32.799 9.09 1.2 -115.443 32.804 0.159 17.681
37663383 -115.469 32.832 8.28 1.4 -115.464 32.836 0.121 13.455
37925224 -115.394 32.717 10.63 1.5 -115.388 32.721 0.258 28.721
37752967 -115.434 32.784 10.60 1.4 -115.431 32.786 0.180 20.053
37910103 -115.443 32.793 9.58 1.4 -115.438 32.796 0.168 18.667
38233112 -115.436 32.786 10.65 1.9 -115.432 32.788 0.178 19.745
38146191 -115.464 32.820 10.06 1.3 -115.457 32.825 0.134 14.875
38394408 -115.419 32.755 10.70 1.5 -115.413 32.759 0.213 23.663
38395016 -115.417 32.753 10.63 1.7 -115.412 32.757 0.216 23.971
38395104 -115.416 32.751 10.68 1.7 -115.410 32.755 0.218 24.218
38163455 -115.419 32.755 10.39 2.2 -115.413 32.759 0.213 23.663
38163647 -115.417 32.754 10.61 1.5 -115.412 32.757 0.215 23.879
38163783 -115.420 32.756 10.38 1.8 -115.414 32.760 0.211 23.509
37201980 -115.420 32.755 10.35 1.9 -115.413 32.759 0.212 23.602
38163791 -115.421 32.757 10.55 1.9 -115.415 32.761 0.210 23.355
38424224 -115.459 32.813 9.16 1.5 -115.452 32.818 0.142 15.831
38424232 -115.459 32.813 9.19 1.8 -115.452 32.818 0.142 15.831
38434303 -115.453 32.804 9.09 1.7 -115.446 32.809 0.153 17.034
38434319 -115.452 32.803 9.07 1.3 -115.445 32.808 0.155 17.188
38435063 -115.452 32.805 9.40 1.5 -115.446 32.809 0.153 17.002
38814367 -115.454 32.805 8.93 1.0 -115.447 32.810 0.152 16.880
39400232 -115.431 32.777 10.87 1.8 -115.427 32.780 0.188 20.886
38477890 -115.424 32.761 10.45 1.4 -115.417 32.765 0.205 22.800
38478194 -115.423 32.760 10.48 1.5 -115.417 32.764 0.206 22.954
38480482 -115.425 32.763 10.29 1.7 -115.419 32.767 0.203 22.554
38481738 -115.423 32.760 10.41 2.2 -115.417 32.764 0.206 22.954
39207383 -115.449 32.799 9.44 1.6 -115.442 32.803 0.160 17.743
39342527 -115.460 32.815 9.51 1.4 -115.453 32.820 0.140 15.584
38705330 -115.441 32.796 10.10 1.2 -115.439 32.798 0.166 18.510
39539239 -115.414 32.751 10.81 1.7 -115.410 32.754 0.219 24.341
39539343 -115.414 32.751 10.75 1.8 -115.410 32.754 0.219 24.341
39540559 -115.413 32.750 10.87 1.3 -115.409 32.753 0.220 24.495
