ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
10541429 -115.597 32.825 9.98 0.7 -115.604 32.820 0.047 5.268
10633973 -115.607 32.824 9.04 1.3 -115.607 32.824 0.043 4.750
14750612 -115.603 32.831 10.05 1.5 -115.609 32.827 0.039 4.344
10873221 -115.533 32.699 5.05 1.3 -115.527 32.703 0.188 20.884
10873301 -115.533 32.699 4.95 1.4 -115.527 32.703 0.188 20.884
10874229 -115.533 32.700 4.98 1.8 -115.527 32.704 0.187 20.791
10903949 -115.608 32.840 10.48 1.6 -115.614 32.836 0.029 3.203
36947719 -115.607 32.840 10.48 1.4 -115.614 32.835 0.029 3.264
10903957 -115.607 32.839 10.45 2.0 -115.613 32.835 0.030 3.357
11048269 -115.605 32.836 10.26 1.6 -115.611 32.832 0.034 3.758
11048277 -115.605 32.835 10.21 1.7 -115.611 32.831 0.035 3.850
11048469 -115.605 32.837 10.25 1.3 -115.612 32.832 0.033 3.665
15241289 -115.578 32.793 8.02 1.9 -115.584 32.789 0.085 9.402
11279450 -115.607 32.838 10.33 1.5 -115.613 32.834 0.031 3.450
11279602 -115.607 32.838 10.33 2.0 -115.613 32.834 0.031 3.450
15481553 -115.532 32.703 7.23 1.8 -115.528 32.705 0.185 20.573
15482785 -115.531 32.704 6.88 1.6 -115.528 32.706 0.185 20.542
37214272 -115.526 32.700 5.22 1.8 -115.525 32.701 0.191 21.219
15525385 -115.601 32.827 10.02 1.3 -115.606 32.824 0.044 4.838
15536769 -115.597 32.826 10.45 1.3 -115.604 32.821 0.047 5.175
15536785 -115.597 32.826 10.45 1.2 -115.604 32.821 0.047 5.175
37297600 -115.605 32.836 10.33 1.1 -115.611 32.832 0.034 3.758
37241895 -115.606 32.836 10.20 1.2 -115.612 32.832 0.033 3.696
37336727 -115.605 32.833 9.90 1.4 -115.610 32.830 0.036 4.036
37336735 -115.605 32.833 9.89 1.4 -115.610 32.830 0.036 4.036
37438319 -115.610 32.839 10.24 1.2 -115.614 32.836 0.029 3.173
37811896 -115.603 32.826 9.59 1.6 -115.606 32.824 0.043 4.809
37646503 -115.604 32.836 10.40 1.9 -115.611 32.831 0.034 3.819
37646567 -115.604 32.836 10.40 1.6 -115.611 32.831 0.034 3.819
37646575 -115.605 32.837 10.33 2.1 -115.612 32.832 0.033 3.665
37646615 -115.606 32.836 10.24 2.1 -115.612 32.832 0.033 3.696
37646623 -115.606 32.836 10.23 1.2 -115.612 32.832 0.033 3.696
37646631 -115.606 32.836 10.13 1.5 -115.612 32.832 0.033 3.696
37646663 -115.607 32.838 10.31 1.1 -115.613 32.834 0.031 3.450
37646887 -115.609 32.839 10.27 2.1 -115.614 32.836 0.029 3.234
37647063 -115.607 32.839 10.52 1.4 -115.613 32.835 0.030 3.357
37647095 -115.606 32.839 10.54 1.2 -115.613 32.834 0.031 3.418
37647103 -115.606 32.835 10.12 1.2 -115.611 32.832 0.034 3.789
37662887 -115.602 32.831 9.96 1.3 -115.608 32.827 0.040 4.405
37394773 -115.602 32.831 9.99 1.1 -115.608 32.827 0.040 4.405
37762327 -115.611 32.839 10.17 1.6 -115.615 32.837 0.028 3.112
37762335 -115.611 32.839 10.16 1.2 -115.615 32.837 0.028 3.112
37762383 -115.610 32.839 10.19 1.8 -115.614 32.836 0.029 3.173
37762399 -115.610 32.839 10.16 1.7 -115.614 32.836 0.029 3.173
37762455 -115.608 32.838 10.27 1.2 -115.613 32.835 0.030 3.388
37762463 -115.608 32.839 10.24 2.2 -115.614 32.835 0.030 3.295
37762575 -115.605 32.838 10.69 1.4 -115.612 32.833 0.032 3.572
37765479 -115.604 32.836 10.47 1.5 -115.611 32.831 0.034 3.819
37765487 -115.605 32.837 10.57 1.1 -115.612 32.832 0.033 3.665
37766287 -115.606 32.838 10.57 2.2 -115.613 32.834 0.032 3.511
38220952 -115.603 32.818 8.72 1.3 -115.603 32.818 0.050 5.552
38220968 -115.603 32.818 8.71 2.3 -115.603 32.818 0.050 5.552
38221264 -115.602 32.818 8.77 2.0 -115.602 32.818 0.050 5.613
38221272 -115.601 32.818 8.71 1.7 -115.602 32.817 0.051 5.674
38221288 -115.601 32.817 8.74 1.2 -115.601 32.817 0.052 5.767
38221320 -115.601 32.817 8.69 2.2 -115.601 32.817 0.052 5.767
38221328 -115.602 32.818 8.71 1.5 -115.602 32.818 0.050 5.613
38221344 -115.600 32.817 8.69 1.5 -115.601 32.816 0.052 5.828
38221368 -115.601 32.817 8.66 1.4 -115.601 32.817 0.052 5.767
38045839 -115.534 32.705 7.48 1.4 -115.530 32.708 0.182 20.265
38422872 -115.607 32.816 9.67 1.0 -115.603 32.819 0.049 5.493
38422880 -115.608 32.816 9.69 1.4 -115.603 32.819 0.049 5.432
38423152 -115.606 32.815 9.67 1.7 -115.602 32.818 0.051 5.647
38423488 -115.606 32.815 9.65 1.3 -115.602 32.818 0.051 5.647
38423496 -115.606 32.815 9.63 1.2 -115.602 32.818 0.051 5.647
38424384 -115.606 32.815 9.65 1.9 -115.602 32.818 0.051 5.647
38330119 -115.537 32.707 7.87 1.3 -115.532 32.711 0.179 19.896
38333815 -115.533 32.703 7.93 1.9 -115.529 32.706 0.184 20.512
38333847 -115.533 32.703 7.96 1.8 -115.529 32.706 0.184 20.512
38333863 -115.534 32.703 7.51 1.9 -115.529 32.706 0.184 20.451
38335015 -115.531 32.700 6.95 2.1 -115.527 32.703 0.188 20.913
38349279 -115.575 32.792 8.05 2.5 -115.582 32.787 0.087 9.678
39090111 -115.604 32.829 9.98 1.3 -115.608 32.826 0.040 4.469
38475586 -115.591 32.814 9.51 1.2 -115.597 32.810 0.060 6.657
39336143 -115.601 32.820 10.06 1.2 -115.603 32.819 0.049 5.488
38695610 -115.599 32.826 9.56 1.1 -115.605 32.822 0.045 5.053
39443423 -115.517 32.697 5.58 2.2 -115.521 32.694 0.198 22.048
39882367 -115.505 32.673 7.39 1.8 -115.506 32.672 0.225 25.011
40200016 -115.527 32.699 5.66 1.6 -115.525 32.700 0.191 21.251
40200024 -115.527 32.699 5.67 1.9 -115.525 32.700 0.191 21.251
40201952 -115.595 32.820 9.54 1.4 -115.601 32.816 0.053 5.855
40202008 -115.597 32.826 9.76 1.3 -115.604 32.821 0.047 5.175
37489893 -115.597 32.825 9.60 1.4 -115.604 32.820 0.047 5.268
40202080 -115.597 32.823 9.44 1.0 -115.603 32.819 0.049 5.454
40205824 -115.529 32.703 4.30 1.3 -115.527 32.704 0.187 20.757
39969103 -115.527 32.698 5.73 2.7 -115.524 32.700 0.192 21.344
39969135 -115.527 32.699 5.73 2.5 -115.525 32.700 0.191 21.251
