ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14731460 -115.439 32.725 9.81 1.1 -115.435 32.727 0.224 24.938
15333881 -115.438 32.730 7.85 1.3 -115.437 32.730 0.221 24.535
37758351 -115.433 32.717 10.26 1.7 -115.430 32.719 0.234 26.048
37758359 -115.433 32.717 10.29 1.3 -115.430 32.719 0.234 26.048
39010559 -115.413 32.709 11.49 1.3 -115.420 32.704 0.252 28.014
39752200 -115.462 32.784 8.43 1.4 -115.469 32.779 0.162 18.052
37376772 -115.418 32.715 3.57 1.0 -115.424 32.711 0.244 27.151
39901695 -115.418 32.715 3.54 1.5 -115.424 32.711 0.244 27.151
