ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14597732 -115.466 32.823 9.21 1.5 -115.477 32.836 0.142 15.831
14619980 -115.539 32.789 11.07 1.5 -115.536 32.786 0.065 7.209
10601541 -115.532 32.788 11.07 1.5 -115.533 32.789 0.069 7.727
10602213 -115.467 32.825 9.32 1.9 -115.477 32.837 0.143 15.891
37230413 -115.468 32.826 9.31 2.0 -115.477 32.837 0.143 15.879
10613325 -115.528 32.781 9.78 1.4 -115.534 32.788 0.068 7.558
10785581 -115.469 32.821 9.00 2.0 -115.480 32.834 0.139 15.433
10833989 -115.528 32.779 11.11 1.3 -115.535 32.787 0.067 7.413
10868245 -115.529 32.780 11.07 2.2 -115.535 32.787 0.067 7.401
10980469 -115.524 32.783 11.34 2.1 -115.531 32.791 0.072 8.040
11034309 -115.534 32.785 11.14 1.6 -115.535 32.787 0.066 7.341
15181217 -115.469 32.822 8.63 1.6 -115.480 32.834 0.139 15.505
15229137 -115.536 32.790 10.59 1.2 -115.534 32.788 0.068 7.535
15264313 -115.540 32.792 11.16 1.7 -115.535 32.787 0.066 7.342
15264329 -115.541 32.790 10.52 1.8 -115.537 32.785 0.064 7.113
15264337 -115.541 32.790 10.60 1.7 -115.537 32.785 0.064 7.113
15264345 -115.540 32.789 10.68 3.6 -115.537 32.785 0.064 7.125
15264369 -115.540 32.790 10.99 1.7 -115.536 32.786 0.065 7.197
15264385 -115.544 32.793 10.84 1.5 -115.537 32.785 0.064 7.077
15264393 -115.548 32.797 10.78 1.8 -115.537 32.785 0.063 7.030
15295353 -115.539 32.787 10.73 1.6 -115.537 32.785 0.064 7.064
11338898 -115.525 32.783 11.30 2.4 -115.531 32.790 0.072 7.956
11338914 -115.524 32.782 11.41 1.4 -115.531 32.790 0.072 7.968
11339122 -115.526 32.783 11.11 1.6 -115.532 32.790 0.071 7.871
11341994 -115.538 32.783 10.22 1.4 -115.539 32.784 0.062 6.859
11389146 -115.467 32.824 8.65 1.6 -115.477 32.836 0.142 15.819
11389154 -115.467 32.824 8.52 2.0 -115.477 32.836 0.142 15.819
11389162 -115.470 32.834 8.53 1.3 -115.474 32.839 0.146 16.290
11397386 -115.538 32.784 10.26 1.6 -115.538 32.784 0.062 6.931
11422970 -115.540 32.786 10.29 1.6 -115.538 32.784 0.062 6.908
15466153 -115.546 32.794 10.67 1.5 -115.538 32.784 0.063 6.981
15466161 -115.546 32.794 10.60 1.7 -115.538 32.784 0.063 6.981
37248656 -115.542 32.794 10.97 1.5 -115.535 32.786 0.066 7.318
37268248 -115.467 32.823 9.34 1.0 -115.478 32.836 0.142 15.746
37268280 -115.466 32.823 9.34 1.4 -115.477 32.836 0.142 15.831
37351608 -115.550 32.793 8.58 1.9 -115.541 32.782 0.059 6.571
37148975 -115.548 32.793 10.05 1.1 -115.539 32.783 0.061 6.740
37149071 -115.547 32.793 10.08 1.4 -115.539 32.784 0.061 6.824
37149119 -115.548 32.794 10.30 1.6 -115.539 32.783 0.061 6.812
37149415 -115.548 32.795 10.41 1.3 -115.538 32.784 0.062 6.885
37165999 -115.530 32.781 11.26 1.8 -115.535 32.787 0.066 7.389
37393664 -115.536 32.786 11.03 1.3 -115.536 32.786 0.065 7.245
37407504 -115.550 32.791 9.55 1.7 -115.542 32.781 0.058 6.426
37224911 -115.548 32.789 9.66 1.3 -115.541 32.781 0.058 6.450
37500032 -115.544 32.786 9.64 2.0 -115.541 32.782 0.059 6.570
37295967 -115.480 32.826 7.06 1.5 -115.484 32.831 0.134 14.867
37372455 -115.533 32.780 10.35 2.1 -115.537 32.785 0.064 7.064
37372463 -115.534 32.780 10.35 1.6 -115.538 32.784 0.063 6.979
37611424 -115.534 32.786 11.22 1.5 -115.535 32.787 0.067 7.414
37619504 -115.538 32.786 11.00 1.5 -115.537 32.785 0.064 7.076
37475695 -115.539 32.785 10.93 1.4 -115.538 32.784 0.062 6.920
37475735 -115.538 32.785 10.98 1.4 -115.538 32.785 0.063 7.004
37475743 -115.538 32.785 11.01 1.1 -115.538 32.785 0.063 7.004
37718040 -115.474 32.837 8.65 1.5 -115.475 32.838 0.145 16.170
37718272 -115.469 32.827 8.67 1.8 -115.477 32.836 0.143 15.867
37718280 -115.468 32.826 8.68 2.0 -115.477 32.837 0.143 15.879
37537775 -115.473 32.819 9.48 1.2 -115.483 32.831 0.134 14.950
37762904 -115.526 32.775 10.48 1.4 -115.536 32.786 0.066 7.292
37764560 -115.475 32.833 8.37 1.2 -115.478 32.836 0.142 15.796
37765096 -115.532 32.782 11.16 1.1 -115.536 32.786 0.066 7.293
37567823 -115.476 32.834 8.65 1.5 -115.478 32.836 0.142 15.784
37654903 -115.531 32.782 11.30 1.4 -115.535 32.787 0.066 7.377
37663383 -115.469 32.832 8.28 1.4 -115.475 32.839 0.146 16.230
37710783 -115.475 32.834 8.62 1.4 -115.477 32.836 0.143 15.868
37727031 -115.469 32.821 8.94 1.5 -115.480 32.834 0.139 15.433
37727039 -115.469 32.821 8.90 1.5 -115.480 32.834 0.139 15.433
37727047 -115.469 32.821 8.89 1.9 -115.480 32.834 0.139 15.433
37727055 -115.469 32.822 8.96 1.5 -115.480 32.834 0.139 15.505
37727135 -115.469 32.821 9.19 1.6 -115.480 32.834 0.139 15.433
37727143 -115.469 32.821 8.99 1.8 -115.480 32.834 0.139 15.433
37727167 -115.470 32.823 9.15 1.3 -115.480 32.834 0.139 15.493
37727231 -115.470 32.823 9.25 1.3 -115.480 32.834 0.139 15.493
37727239 -115.469 32.821 9.28 2.4 -115.480 32.834 0.139 15.433
37727247 -115.471 32.825 8.94 1.0 -115.479 32.835 0.140 15.554
37727255 -115.470 32.822 9.31 1.3 -115.480 32.834 0.139 15.421
37727279 -115.470 32.823 9.18 2.6 -115.480 32.834 0.139 15.493
37727295 -115.469 32.820 9.26 2.2 -115.481 32.834 0.138 15.360
37727351 -115.470 32.823 9.23 2.2 -115.480 32.834 0.139 15.493
37727367 -115.470 32.821 9.35 1.3 -115.481 32.833 0.138 15.348
37727439 -115.469 32.820 9.36 1.8 -115.481 32.834 0.138 15.360
37727831 -115.470 32.821 9.47 1.5 -115.481 32.833 0.138 15.348
37730847 -115.469 32.821 9.39 2.5 -115.480 32.834 0.139 15.433
37730855 -115.470 32.823 9.41 1.5 -115.480 32.834 0.139 15.493
37731287 -115.470 32.822 9.44 2.1 -115.480 32.834 0.139 15.421
37814367 -115.532 32.780 10.45 1.5 -115.537 32.785 0.064 7.148
37899823 -115.539 32.791 10.99 1.6 -115.535 32.787 0.066 7.354
38169584 -115.529 32.784 10.80 1.9 -115.533 32.789 0.069 7.691
37186188 -115.529 32.784 10.86 1.8 -115.533 32.789 0.069 7.691
