ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14932228 -115.406 32.729 10.83 1.3 -115.396 32.717 0.133 14.742
14988292 -115.402 32.707 11.60 1.6 -115.404 32.710 0.121 13.485
11045221 -115.408 32.728 11.10 1.5 -115.397 32.716 0.130 14.500
37284496 -115.404 32.724 11.02 2.2 -115.397 32.716 0.131 14.548
37284536 -115.403 32.723 11.04 1.6 -115.397 32.716 0.131 14.560
37378600 -115.404 32.728 10.76 1.9 -115.395 32.718 0.133 14.838
37551088 -115.398 32.718 11.07 2.1 -115.396 32.716 0.131 14.620
37138892 -115.398 32.716 11.35 2.2 -115.397 32.715 0.130 14.475
37666256 -115.415 32.724 11.71 1.8 -115.403 32.710 0.122 13.620
37577559 -115.409 32.728 9.61 1.4 -115.398 32.715 0.130 14.416
37577679 -115.409 32.728 9.60 1.4 -115.398 32.715 0.130 14.416
37820560 -115.391 32.701 11.54 1.9 -115.401 32.712 0.126 13.979
37925224 -115.394 32.717 10.63 1.5 -115.395 32.718 0.134 14.885
37269714 -115.389 32.703 11.15 1.5 -115.399 32.714 0.129 14.292
37269722 -115.389 32.702 11.14 1.6 -115.399 32.714 0.128 14.220
37531866 -115.410 32.728 9.83 2.0 -115.398 32.715 0.129 14.332
37531882 -115.408 32.725 10.04 1.5 -115.399 32.714 0.128 14.283
38532255 -115.408 32.728 10.45 1.7 -115.397 32.716 0.130 14.500
39005152 -115.399 32.721 9.93 2.0 -115.396 32.717 0.133 14.753
39010559 -115.413 32.709 11.49 1.3 -115.410 32.705 0.114 12.702
39018727 -115.406 32.726 10.98 1.5 -115.397 32.716 0.131 14.524
39018735 -115.406 32.726 10.96 2.0 -115.397 32.716 0.131 14.524
39018743 -115.405 32.725 11.00 1.6 -115.397 32.716 0.131 14.536
39018839 -115.405 32.726 10.87 2.5 -115.397 32.716 0.131 14.609
38486530 -115.407 32.728 11.04 1.8 -115.397 32.716 0.131 14.585
39478424 -115.412 32.714 12.70 1.4 -115.407 32.708 0.118 13.149
39349015 -115.395 32.711 11.69 1.8 -115.398 32.715 0.129 14.366
39912512 -115.399 32.725 10.30 1.6 -115.394 32.719 0.135 15.042
39730367 -115.389 32.720 10.86 1.8 -115.390 32.722 0.140 15.524
37376772 -115.418 32.715 3.57 1.0 -115.409 32.705 0.114 12.715
39901695 -115.418 32.715 3.54 1.5 -115.409 32.705 0.114 12.715
40196224 -115.399 32.718 11.37 1.9 -115.397 32.716 0.131 14.535
