ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14619980 -115.539 32.789 11.07 1.5 -115.540 32.788 0.112 12.447
14627668 -115.514 32.752 7.72 1.9 -115.515 32.751 0.157 17.412
10590269 -115.514 32.754 7.77 2.1 -115.516 32.752 0.155 17.226
10592221 -115.513 32.754 8.77 1.9 -115.516 32.752 0.155 17.287
10592245 -115.513 32.753 8.64 1.6 -115.516 32.751 0.156 17.380
10601541 -115.532 32.788 11.07 1.5 -115.537 32.784 0.117 12.968
10613325 -115.528 32.781 9.78 1.4 -115.533 32.778 0.125 13.862
10833989 -115.528 32.779 11.11 1.3 -115.532 32.776 0.126 14.048
10868245 -115.529 32.780 11.07 2.2 -115.533 32.778 0.125 13.894
11034309 -115.534 32.785 11.14 1.6 -115.537 32.783 0.118 13.124
15180601 -115.520 32.769 9.79 1.5 -115.525 32.766 0.139 15.466
15229137 -115.536 32.790 10.59 1.2 -115.539 32.788 0.113 12.537
15264313 -115.540 32.792 11.16 1.7 -115.542 32.791 0.109 12.107
15264329 -115.541 32.790 10.52 1.8 -115.541 32.790 0.110 12.232
15264337 -115.541 32.790 10.60 1.7 -115.541 32.790 0.110 12.232
15264345 -115.540 32.789 10.68 3.6 -115.540 32.789 0.111 12.386
15264369 -115.540 32.790 10.99 1.7 -115.541 32.790 0.111 12.293
15264385 -115.544 32.793 10.84 1.5 -115.543 32.793 0.106 11.770
15264393 -115.548 32.797 10.78 1.8 -115.546 32.798 0.100 11.154
15295353 -115.539 32.787 10.73 1.6 -115.539 32.787 0.114 12.633
11339122 -115.526 32.783 11.11 1.6 -115.533 32.778 0.124 13.799
11341994 -115.538 32.783 10.22 1.4 -115.537 32.784 0.117 13.065
11397386 -115.538 32.784 10.26 1.6 -115.537 32.784 0.117 12.972
11422970 -115.540 32.786 10.29 1.6 -115.539 32.787 0.114 12.664
15466153 -115.546 32.794 10.67 1.5 -115.544 32.795 0.104 11.554
15466161 -115.546 32.794 10.60 1.7 -115.544 32.795 0.104 11.554
37248656 -115.542 32.794 10.97 1.5 -115.543 32.793 0.106 11.799
37266088 -115.514 32.761 9.57 1.2 -115.519 32.757 0.149 16.576
37268928 -115.559 32.807 10.96 1.2 -115.554 32.810 0.086 9.552
37043671 -115.521 32.769 9.84 1.3 -115.525 32.766 0.139 15.405
37043679 -115.521 32.770 9.86 1.5 -115.526 32.767 0.138 15.312
37099927 -115.519 32.769 10.08 2.3 -115.525 32.765 0.140 15.527
37340304 -115.558 32.806 10.90 1.2 -115.553 32.809 0.087 9.706
37340296 -115.558 32.806 10.91 1.7 -115.553 32.809 0.087 9.706
37351608 -115.550 32.793 8.58 1.9 -115.545 32.796 0.103 11.403
37148975 -115.548 32.793 10.05 1.1 -115.544 32.795 0.104 11.525
37149071 -115.547 32.793 10.08 1.4 -115.544 32.795 0.104 11.586
37149119 -115.548 32.794 10.30 1.6 -115.545 32.796 0.103 11.432
37149415 -115.548 32.795 10.41 1.3 -115.545 32.797 0.102 11.339
37165999 -115.530 32.781 11.26 1.8 -115.534 32.779 0.124 13.740
37393664 -115.536 32.786 11.03 1.3 -115.538 32.785 0.116 12.909
37407504 -115.550 32.791 9.55 1.7 -115.544 32.795 0.104 11.589
37224911 -115.548 32.789 9.66 1.3 -115.543 32.793 0.107 11.897
37245487 -115.559 32.807 10.93 1.4 -115.554 32.810 0.086 9.552
37485120 -115.557 32.801 10.09 1.3 -115.551 32.805 0.092 10.232
37500032 -115.544 32.786 9.64 2.0 -115.540 32.789 0.112 12.420
37372455 -115.533 32.780 10.35 2.1 -115.534 32.779 0.123 13.650
37372463 -115.534 32.780 10.35 1.6 -115.534 32.780 0.122 13.588
37611424 -115.534 32.786 11.22 1.5 -115.537 32.784 0.117 13.031
37619504 -115.538 32.786 11.00 1.5 -115.538 32.786 0.115 12.787
37475695 -115.539 32.785 10.93 1.4 -115.538 32.786 0.115 12.818
37475735 -115.538 32.785 10.98 1.4 -115.538 32.785 0.116 12.879
37475743 -115.538 32.785 11.01 1.1 -115.538 32.785 0.116 12.879
37762904 -115.526 32.775 10.48 1.4 -115.530 32.773 0.131 14.542
37765096 -115.532 32.782 11.16 1.1 -115.535 32.780 0.122 13.525
37778824 -115.559 32.807 10.91 1.3 -115.554 32.810 0.086 9.552
37654903 -115.531 32.782 11.30 1.4 -115.534 32.780 0.122 13.586
37814367 -115.532 32.780 10.45 1.5 -115.534 32.779 0.123 13.711
37899823 -115.539 32.791 10.99 1.6 -115.541 32.790 0.110 12.261
38169584 -115.529 32.784 10.80 1.9 -115.535 32.780 0.122 13.523
37186188 -115.529 32.784 10.86 1.8 -115.535 32.780 0.122 13.523
38169592 -115.528 32.784 10.92 1.9 -115.534 32.780 0.122 13.584
38169600 -115.530 32.785 10.72 2.2 -115.535 32.781 0.120 13.369
38169688 -115.528 32.783 10.76 1.7 -115.534 32.779 0.123 13.677
38169696 -115.528 32.783 10.81 1.3 -115.534 32.779 0.123 13.677
38170096 -115.529 32.786 11.27 1.4 -115.536 32.782 0.120 13.337
37186636 -115.528 32.785 11.07 1.8 -115.535 32.781 0.121 13.491
38171312 -115.529 32.786 11.03 2.0 -115.536 32.782 0.120 13.337
38171432 -115.531 32.781 10.23 1.8 -115.534 32.779 0.123 13.679
38171448 -115.530 32.781 10.32 1.9 -115.534 32.779 0.124 13.740
38171472 -115.530 32.781 10.39 1.5 -115.534 32.779 0.124 13.740
38171480 -115.530 32.781 10.44 1.4 -115.534 32.779 0.124 13.740
38171488 -115.530 32.780 10.22 1.6 -115.533 32.778 0.124 13.833
38196904 -115.529 32.780 11.05 1.5 -115.533 32.778 0.125 13.894
38196984 -115.533 32.785 11.30 1.4 -115.536 32.783 0.119 13.185
37364138 -115.533 32.780 9.91 1.7 -115.534 32.779 0.123 13.650
38145527 -115.541 32.792 11.10 1.7 -115.542 32.791 0.108 12.046
38470143 -115.491 32.729 9.05 2.1 -115.498 32.724 0.188 20.954
39038816 -115.526 32.778 11.24 1.2 -115.531 32.775 0.128 14.263
38238730 -115.538 32.786 10.53 2.8 -115.538 32.786 0.115 12.787
38238746 -115.535 32.784 10.49 4.0 -115.536 32.783 0.118 13.156
38238754 -115.530 32.780 11.07 3.6 -115.533 32.778 0.124 13.833
38238762 -115.528 32.777 10.63 2.4 -115.531 32.775 0.128 14.234
38238770 -115.540 32.787 10.51 2.5 -115.539 32.787 0.113 12.571
38238778 -115.537 32.784 10.29 1.3 -115.537 32.784 0.117 13.033
37237484 -115.539 32.784 10.25 1.5 -115.538 32.785 0.116 12.911
37237500 -115.541 32.788 10.59 1.6 -115.540 32.789 0.112 12.417
38238786 -115.541 32.788 10.47 2.5 -115.540 32.789 0.112 12.417
38238802 -115.530 32.780 10.98 1.4 -115.533 32.778 0.124 13.833
38238818 -115.531 32.780 10.86 1.2 -115.533 32.778 0.124 13.772
38238842 -115.536 32.781 10.02 1.4 -115.535 32.781 0.120 13.373
38238850 -115.531 32.782 11.04 1.5 -115.534 32.780 0.122 13.586
38238858 -115.535 32.782 10.26 2.2 -115.535 32.782 0.120 13.342
38238866 -115.535 32.782 10.35 2.4 -115.535 32.782 0.120 13.342
38238874 -115.542 32.789 10.57 1.4 -115.541 32.790 0.110 12.263
38238906 -115.536 32.782 10.29 1.5 -115.536 32.782 0.119 13.280
38238922 -115.536 32.782 10.23 2.4 -115.536 32.782 0.119 13.280
37237868 -115.537 32.783 10.36 1.8 -115.537 32.783 0.118 13.126
38238938 -115.535 32.781 10.28 1.4 -115.535 32.781 0.121 13.434
38238962 -115.534 32.781 10.30 2.5 -115.535 32.781 0.121 13.496
38238970 -115.547 32.792 9.96 1.1 -115.544 32.794 0.105 11.679
38239042 -115.544 32.787 9.72 1.6 -115.541 32.789 0.111 12.327
