ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
10532613 -115.452 32.789 9.25 0.8 -115.463 32.801 0.132 14.713
10532605 -115.452 32.788 9.12 1.7 -115.463 32.801 0.132 14.641
14581836 -115.453 32.790 8.66 2.2 -115.463 32.801 0.132 14.702
14604068 -115.453 32.789 8.80 1.7 -115.463 32.801 0.132 14.629
14615660 -115.447 32.801 8.87 2.5 -115.454 32.809 0.144 16.004
10183330 -115.447 32.802 8.84 1.8 -115.453 32.809 0.145 16.077
10182690 -115.446 32.800 8.68 2.2 -115.454 32.809 0.144 16.016
10183430 -115.446 32.801 8.91 2.5 -115.453 32.810 0.145 16.089
37005063 -115.449 32.798 9.04 0.5 -115.457 32.807 0.140 15.618
14627668 -115.514 32.752 7.72 1.9 -115.517 32.755 0.061 6.803
10590269 -115.514 32.754 7.77 2.1 -115.516 32.756 0.062 6.948
10592221 -115.513 32.754 8.77 1.9 -115.515 32.756 0.063 7.032
10592245 -115.513 32.753 8.64 1.6 -115.516 32.756 0.063 6.960
31869759 -115.500 32.761 10.42 1.5 -115.504 32.766 0.078 8.636
37174573 -115.510 32.762 9.31 1.2 -115.509 32.761 0.071 7.865
14724108 -115.525 32.741 8.14 1.1 -115.528 32.745 0.046 5.078
10785429 -115.466 32.816 9.27 1.9 -115.457 32.806 0.139 15.488
10785453 -115.466 32.817 9.19 1.3 -115.457 32.806 0.140 15.561
10788421 -115.467 32.818 9.28 2.0 -115.457 32.806 0.140 15.549
10791493 -115.452 32.802 8.95 1.2 -115.456 32.807 0.141 15.655
10791525 -115.452 32.803 8.96 1.9 -115.456 32.807 0.141 15.728
10796197 -115.502 32.756 9.99 2.5 -115.508 32.763 0.073 8.105
14856212 -115.461 32.803 9.19 2.2 -115.461 32.803 0.135 14.968
14856596 -115.459 32.806 9.35 1.5 -115.458 32.805 0.138 15.354
14860852 -115.454 32.799 9.15 1.9 -115.459 32.805 0.137 15.269
14860860 -115.454 32.799 9.04 1.7 -115.459 32.805 0.137 15.269
14860868 -115.453 32.798 9.10 1.2 -115.459 32.805 0.137 15.281
14860876 -115.452 32.798 9.21 1.4 -115.458 32.805 0.138 15.365
14860924 -115.454 32.799 6.27 1.8 -115.459 32.805 0.137 15.269
14860932 -115.453 32.798 9.23 1.9 -115.459 32.805 0.137 15.281
14860948 -115.452 32.797 9.15 1.8 -115.459 32.805 0.138 15.293
14860956 -115.453 32.799 9.07 2.7 -115.458 32.805 0.138 15.353
14860972 -115.454 32.799 9.07 2.5 -115.459 32.805 0.137 15.269
14860980 -115.455 32.800 8.95 1.4 -115.459 32.805 0.137 15.257
14860988 -115.452 32.797 8.97 1.6 -115.459 32.805 0.138 15.293
14861004 -115.455 32.801 8.94 1.2 -115.459 32.805 0.138 15.330
14861012 -115.455 32.801 9.09 1.6 -115.459 32.805 0.138 15.330
14861036 -115.452 32.796 8.96 1.7 -115.459 32.804 0.137 15.220
14861060 -115.452 32.796 8.93 1.9 -115.459 32.804 0.137 15.220
14861100 -115.449 32.792 9.20 1.6 -115.460 32.804 0.137 15.184
14861108 -115.450 32.794 9.17 1.8 -115.459 32.805 0.137 15.244
10835221 -115.468 32.814 9.73 1.1 -115.460 32.804 0.136 15.175
10907717 -115.465 32.807 9.17 1.6 -115.461 32.803 0.134 14.921
10937261 -115.504 32.755 10.13 1.7 -115.509 32.761 0.071 7.864
14997844 -115.504 32.760 10.80 2.0 -115.507 32.763 0.074 8.226
