ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
10541429 -115.597 32.825 9.98 0.7 -115.599 32.827 0.041 4.595
14600444 -115.586 32.824 10.73 1.8 -115.593 32.832 0.049 5.450
14600764 -115.586 32.824 10.76 1.4 -115.593 32.832 0.049 5.450
14601460 -115.593 32.830 10.45 2.1 -115.594 32.831 0.048 5.295
14601468 -115.593 32.829 10.42 1.6 -115.594 32.831 0.047 5.222
29765759 -115.591 32.825 9.96 1.7 -115.595 32.830 0.046 5.101
14601780 -115.588 32.823 10.25 1.6 -115.594 32.831 0.047 5.209
14601772 -115.588 32.823 10.12 2.0 -115.594 32.831 0.047 5.209
14601788 -115.591 32.825 9.97 2.6 -115.595 32.830 0.046 5.101
14601892 -115.595 32.827 10.15 1.1 -115.597 32.829 0.044 4.909
14601916 -115.588 32.818 9.66 1.7 -115.597 32.828 0.044 4.847
14604396 -115.589 32.825 10.36 1.8 -115.594 32.831 0.047 5.270
10177370 -115.588 32.827 10.63 2.7 -115.592 32.832 0.049 5.499
14616692 -115.588 32.826 10.72 2.0 -115.593 32.832 0.049 5.427
14621124 -115.596 32.826 9.68 2.1 -115.598 32.828 0.043 4.752
10633973 -115.607 32.824 9.04 1.3 -115.605 32.822 0.033 3.679
14750612 -115.603 32.831 10.05 1.5 -115.599 32.827 0.041 4.523
14884836 -115.599 32.835 10.52 1.9 -115.595 32.830 0.046 5.151
10903949 -115.608 32.840 10.48 1.6 -115.598 32.828 0.043 4.753
36947719 -115.607 32.840 10.48 1.4 -115.597 32.828 0.044 4.838
10903957 -115.607 32.839 10.45 2.0 -115.597 32.828 0.043 4.765
14962604 -115.602 32.835 10.32 1.7 -115.597 32.829 0.044 4.897
11048269 -115.605 32.836 10.26 1.6 -115.598 32.828 0.042 4.717
11048277 -115.605 32.835 10.21 1.7 -115.598 32.827 0.042 4.644
11048469 -115.605 32.837 10.25 1.3 -115.597 32.828 0.043 4.789
11057973 -115.592 32.828 10.47 1.6 -115.594 32.831 0.047 5.234
15190889 -115.600 32.835 10.51 1.3 -115.595 32.830 0.046 5.066
11243106 -115.602 32.838 10.76 1.6 -115.595 32.830 0.046 5.115
11243114 -115.602 32.838 10.75 1.3 -115.595 32.830 0.046 5.115
11279450 -115.607 32.838 10.33 1.5 -115.598 32.827 0.042 4.693
11279602 -115.607 32.838 10.33 2.0 -115.598 32.827 0.042 4.693
11410098 -115.582 32.822 10.89 1.8 -115.591 32.833 0.051 5.643
11410386 -115.583 32.822 10.82 1.4 -115.592 32.833 0.050 5.559
15474729 -115.601 32.835 10.46 1.9 -115.596 32.829 0.045 4.982
15519265 -115.595 32.828 10.44 1.9 -115.596 32.829 0.045 4.981
15525385 -115.601 32.827 10.02 1.3 -115.600 32.826 0.040 4.402
15525817 -115.590 32.824 10.44 1.0 -115.595 32.830 0.046 5.113
15536769 -115.597 32.826 10.45 1.3 -115.598 32.827 0.042 4.667
15536785 -115.597 32.826 10.45 1.2 -115.598 32.827 0.042 4.667
37286784 -115.584 32.825 11.11 2.0 -115.591 32.833 0.051 5.692
37297600 -115.605 32.836 10.33 1.1 -115.598 32.828 0.042 4.717
37299744 -115.591 32.828 10.52 1.5 -115.594 32.831 0.048 5.318
37390872 -115.603 32.836 10.32 1.2 -115.597 32.829 0.044 4.886
37399696 -115.601 32.835 10.50 1.3 -115.596 32.829 0.045 4.982
37399728 -115.601 32.835 10.50 1.8 -115.596 32.829 0.045 4.982
37399768 -115.600 32.835 10.51 2.4 -115.595 32.830 0.046 5.066
37399776 -115.600 32.835 10.58 1.3 -115.595 32.830 0.046 5.066
37399984 -115.602 32.836 10.45 1.9 -115.596 32.829 0.045 4.970
37400024 -115.601 32.836 10.56 1.8 -115.596 32.830 0.045 5.054
37400048 -115.602 32.835 10.41 1.6 -115.597 32.829 0.044 4.897
37400136 -115.603 32.837 10.51 1.8 -115.596 32.829 0.045 4.958
37222919 -115.589 32.826 10.48 0.8 -115.594 32.831 0.048 5.342
37222935 -115.590 32.826 10.43 1.0 -115.594 32.831 0.047 5.258
37228071 -115.590 32.827 10.38 0.9 -115.594 32.831 0.048 5.330
37228119 -115.591 32.827 10.34 0.9 -115.594 32.831 0.047 5.246
37228135 -115.591 32.827 10.38 0.8 -115.594 32.831 0.047 5.246
37263101 -115.590 32.827 10.44 1.2 -115.594 32.831 0.048 5.330
37241895 -115.606 32.836 10.20 1.2 -115.598 32.827 0.042 4.632
37510016 -115.594 32.829 10.46 2.0 -115.595 32.830 0.046 5.138
37315247 -115.591 32.827 10.57 1.8 -115.594 32.831 0.047 5.246
37551240 -115.590 32.829 10.79 1.4 -115.593 32.832 0.049 5.475
37551568 -115.587 32.823 10.26 1.5 -115.594 32.831 0.048 5.294
37551576 -115.588 32.823 10.15 1.7 -115.594 32.831 0.047 5.209
37551584 -115.588 32.823 10.21 1.9 -115.594 32.831 0.047 5.209
37551616 -115.588 32.824 10.47 1.2 -115.594 32.831 0.047 5.282
37335119 -115.592 32.829 10.49 3.4 -115.594 32.831 0.048 5.306
37335135 -115.594 32.829 10.42 1.6 -115.595 32.830 0.046 5.138
37335143 -115.589 32.829 10.73 1.1 -115.592 32.833 0.050 5.560
37335183 -115.590 32.827 10.62 1.4 -115.594 32.831 0.048 5.330
37335335 -115.590 32.827 10.54 2.4 -115.594 32.831 0.048 5.330
37335343 -115.591 32.828 10.34 1.3 -115.594 32.831 0.048 5.318
37335383 -115.590 32.827 10.43 1.5 -115.594 32.831 0.048 5.330
37335399 -115.588 32.826 10.62 1.9 -115.593 32.832 0.049 5.427
37336071 -115.587 32.824 10.43 1.4 -115.593 32.831 0.048 5.366
37336167 -115.595 32.828 10.33 2.2 -115.596 32.829 0.045 4.981
37336727 -115.605 32.833 9.90 1.4 -115.599 32.826 0.040 4.500
37336735 -115.605 32.833 9.89 1.4 -115.599 32.826 0.040 4.500
37562456 -115.591 32.826 10.18 1.8 -115.595 32.830 0.047 5.174
37562464 -115.591 32.825 10.12 1.7 -115.595 32.830 0.046 5.101
37140172 -115.591 32.825 10.09 1.8 -115.595 32.830 0.046 5.101
37562472 -115.590 32.824 10.10 2.2 -115.595 32.830 0.046 5.113
37562480 -115.588 32.824 10.38 1.8 -115.594 32.831 0.047 5.282
37562488 -115.588 32.825 10.45 2.1 -115.593 32.831 0.048 5.354
37140164 -115.588 32.824 10.40 1.9 -115.594 32.831 0.047 5.282
37562496 -115.590 32.826 10.20 2.1 -115.594 32.831 0.047 5.258
37562504 -115.590 32.826 10.42 2.0 -115.594 32.831 0.047 5.258
37562512 -115.592 32.827 10.45 1.6 -115.595 32.830 0.046 5.162
37562520 -115.588 32.824 10.24 1.4 -115.594 32.831 0.047 5.282
37562528 -115.586 32.823 10.46 1.6 -115.593 32.832 0.048 5.378
37562544 -115.587 32.823 10.31 1.4 -115.594 32.831 0.048 5.294
37562536 -115.585 32.822 10.42 2.6 -115.593 32.832 0.048 5.390
37562552 -115.588 32.825 10.36 1.5 -115.593 32.831 0.048 5.354
37563568 -115.585 32.823 10.80 1.6 -115.593 32.832 0.049 5.462
37563576 -115.586 32.824 10.73 1.8 -115.593 32.832 0.049 5.450
37563952 -115.582 32.821 10.96 1.7 -115.592 32.833 0.050 5.571
37563960 -115.583 32.822 10.89 1.6 -115.592 32.833 0.050 5.559
37563968 -115.584 32.820 10.44 1.2 -115.594 32.831 0.048 5.329
37564120 -115.586 32.825 10.75 2.9 -115.592 32.832 0.050 5.523
37564264 -115.585 32.824 10.76 1.5 -115.592 32.832 0.050 5.535
37564272 -115.586 32.826 10.79 1.5 -115.592 32.833 0.050 5.595
37564448 -115.585 32.825 10.79 1.4 -115.592 32.833 0.050 5.607
37564680 -115.585 32.826 10.88 1.7 -115.591 32.833 0.051 5.680
37564928 -115.586 32.823 10.94 1.7 -115.593 32.832 0.048 5.378
37565080 -115.586 32.825 10.82 1.4 -115.592 32.832 0.050 5.523
37565240 -115.589 32.827 10.66 1.0 -115.593 32.832 0.049 5.415
37565392 -115.586 32.825 10.75 1.3 -115.592 32.832 0.050 5.523
37567656 -115.587 32.823 10.25 1.6 -115.594 32.831 0.048 5.294
37567664 -115.588 32.823 10.25 1.6 -115.594 32.831 0.047 5.209
37391759 -115.605 32.839 10.71 1.3 -115.596 32.829 0.044 4.934
