ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14600444 -115.586 32.824 10.73 1.8 -115.585 32.825 0.056 6.178
14600764 -115.586 32.824 10.76 1.4 -115.585 32.825 0.056 6.178
14601460 -115.593 32.830 10.45 2.1 -115.590 32.832 0.047 5.193
14601468 -115.593 32.829 10.42 1.6 -115.590 32.831 0.048 5.286
29765759 -115.591 32.825 9.96 1.7 -115.587 32.828 0.052 5.780
14601780 -115.588 32.823 10.25 1.6 -115.585 32.825 0.055 6.149
14601772 -115.588 32.823 10.12 2.0 -115.585 32.825 0.055 6.149
14601788 -115.591 32.825 9.97 2.6 -115.587 32.828 0.052 5.780
14601892 -115.595 32.827 10.15 1.1 -115.589 32.831 0.048 5.349
14601916 -115.588 32.818 9.66 1.7 -115.583 32.821 0.059 6.613
14604396 -115.589 32.825 10.36 1.8 -115.587 32.827 0.053 5.902
10177370 -115.588 32.827 10.63 2.7 -115.587 32.828 0.052 5.777
14616692 -115.588 32.826 10.72 2.0 -115.587 32.827 0.053 5.870
14621124 -115.596 32.826 9.68 2.1 -115.589 32.831 0.048 5.381
14724108 -115.525 32.741 8.14 1.1 -115.529 32.739 0.158 17.616
10758533 -115.567 32.790 10.37 1.2 -115.564 32.792 0.094 10.498
14884836 -115.599 32.835 10.52 1.9 -115.594 32.838 0.039 4.362
14962604 -115.602 32.835 10.32 1.7 -115.595 32.840 0.038 4.178
11022717 -115.569 32.802 11.61 1.4 -115.570 32.801 0.083 9.261
11057973 -115.592 32.828 10.47 1.6 -115.589 32.830 0.049 5.440
15190889 -115.600 32.835 10.51 1.3 -115.594 32.839 0.039 4.301
11243106 -115.602 32.838 10.76 1.6 -115.596 32.842 0.035 3.900
11243114 -115.602 32.838 10.75 1.3 -115.596 32.842 0.035 3.900
11281282 -115.572 32.803 11.46 1.7 -115.571 32.803 0.081 8.985
15346089 -115.568 32.802 11.65 1.3 -115.570 32.801 0.084 9.322
11390674 -115.568 32.802 11.66 1.2 -115.570 32.801 0.084 9.322
11410098 -115.582 32.822 10.89 1.8 -115.583 32.821 0.059 6.608
11410386 -115.583 32.822 10.82 1.4 -115.583 32.822 0.059 6.547
15474729 -115.601 32.835 10.46 1.9 -115.595 32.839 0.038 4.239
15519265 -115.595 32.828 10.44 1.9 -115.590 32.831 0.047 5.256
15525817 -115.590 32.824 10.44 1.0 -115.586 32.826 0.053 5.934
37283080 -115.570 32.801 11.55 1.7 -115.570 32.801 0.084 9.293
37283096 -115.571 32.802 11.57 1.0 -115.571 32.802 0.082 9.139
37283272 -115.573 32.803 11.51 1.4 -115.572 32.804 0.080 8.923
37283336 -115.572 32.804 11.63 1.4 -115.572 32.804 0.080 8.892
37286784 -115.584 32.825 11.11 2.0 -115.585 32.824 0.056 6.208
37299744 -115.591 32.828 10.52 1.5 -115.589 32.830 0.049 5.501
37303048 -115.576 32.816 11.39 1.7 -115.578 32.814 0.068 7.533
37233229 -115.574 32.806 11.28 1.6 -115.573 32.806 0.077 8.584
37390872 -115.603 32.836 10.32 1.2 -115.596 32.841 0.036 4.024
37399696 -115.601 32.835 10.50 1.3 -115.595 32.839 0.038 4.239
37399728 -115.601 32.835 10.50 1.8 -115.595 32.839 0.038 4.239
37399768 -115.600 32.835 10.51 2.4 -115.594 32.839 0.039 4.301
37399776 -115.600 32.835 10.58 1.3 -115.594 32.839 0.039 4.301
37399984 -115.602 32.836 10.45 1.9 -115.596 32.840 0.037 4.085
37400024 -115.601 32.836 10.56 1.8 -115.595 32.840 0.037 4.147
37400048 -115.602 32.835 10.41 1.6 -115.595 32.840 0.038 4.178
37400136 -115.603 32.837 10.51 1.8 -115.596 32.841 0.035 3.931
37222919 -115.589 32.826 10.48 0.8 -115.587 32.827 0.052 5.809
37222935 -115.590 32.826 10.43 1.0 -115.587 32.828 0.052 5.748
37228071 -115.590 32.827 10.38 0.9 -115.588 32.828 0.051 5.655
37228119 -115.591 32.827 10.34 0.9 -115.588 32.829 0.050 5.594
37228135 -115.591 32.827 10.38 0.8 -115.588 32.829 0.050 5.594
37263101 -115.590 32.827 10.44 1.2 -115.588 32.828 0.051 5.655
37499312 -115.579 32.819 11.12 1.6 -115.581 32.818 0.064 7.070
37499320 -115.579 32.819 11.09 1.3 -115.581 32.818 0.064 7.070
37510016 -115.594 32.829 10.46 2.0 -115.590 32.832 0.047 5.225
37315247 -115.591 32.827 10.57 1.8 -115.588 32.829 0.050 5.594
37551240 -115.590 32.829 10.79 1.4 -115.589 32.830 0.049 5.469
37551568 -115.587 32.823 10.26 1.5 -115.585 32.824 0.056 6.210
37551576 -115.588 32.823 10.15 1.7 -115.585 32.825 0.055 6.149
37551584 -115.588 32.823 10.21 1.9 -115.585 32.825 0.055 6.149
37551616 -115.588 32.824 10.47 1.2 -115.586 32.825 0.054 6.056
37335119 -115.592 32.829 10.49 3.4 -115.589 32.831 0.048 5.347
37335135 -115.594 32.829 10.42 1.6 -115.590 32.832 0.047 5.225
37335143 -115.589 32.829 10.73 1.1 -115.588 32.829 0.050 5.530
37335183 -115.590 32.827 10.62 1.4 -115.588 32.828 0.051 5.655
37335335 -115.590 32.827 10.54 2.4 -115.588 32.828 0.051 5.655
37335343 -115.591 32.828 10.34 1.3 -115.589 32.830 0.049 5.501
37335383 -115.590 32.827 10.43 1.5 -115.588 32.828 0.051 5.655
37335399 -115.588 32.826 10.62 1.9 -115.587 32.827 0.053 5.870
37336071 -115.587 32.824 10.43 1.4 -115.585 32.825 0.055 6.117
37336103 -115.568 32.802 11.69 1.2 -115.570 32.801 0.084 9.322
37336167 -115.595 32.828 10.33 2.2 -115.590 32.831 0.047 5.256
37562456 -115.591 32.826 10.18 1.8 -115.588 32.828 0.051 5.687
37562464 -115.591 32.825 10.12 1.7 -115.587 32.828 0.052 5.780
37140172 -115.591 32.825 10.09 1.8 -115.587 32.828 0.052 5.780
37562472 -115.590 32.824 10.10 2.2 -115.586 32.826 0.053 5.934
37562480 -115.588 32.824 10.38 1.8 -115.586 32.825 0.054 6.056
37562488 -115.588 32.825 10.45 2.1 -115.586 32.826 0.054 5.963
37140164 -115.588 32.824 10.40 1.9 -115.586 32.825 0.054 6.056
37562496 -115.590 32.826 10.20 2.1 -115.587 32.828 0.052 5.748
37562504 -115.590 32.826 10.42 2.0 -115.587 32.828 0.052 5.748
37562512 -115.592 32.827 10.45 1.6 -115.588 32.829 0.050 5.533
37562520 -115.588 32.824 10.24 1.4 -115.586 32.825 0.054 6.056
37562528 -115.586 32.823 10.46 1.6 -115.585 32.824 0.056 6.271
37562544 -115.587 32.823 10.31 1.4 -115.585 32.824 0.056 6.210
37562536 -115.585 32.822 10.42 2.6 -115.584 32.823 0.058 6.425
37562552 -115.588 32.825 10.36 1.5 -115.586 32.826 0.054 5.963
37563568 -115.585 32.823 10.80 1.6 -115.584 32.823 0.057 6.332
37563576 -115.586 32.824 10.73 1.8 -115.585 32.825 0.056 6.178
37563952 -115.582 32.821 10.96 1.7 -115.583 32.821 0.060 6.701
37563960 -115.583 32.822 10.89 1.6 -115.583 32.822 0.059 6.547
37563968 -115.584 32.820 10.44 1.2 -115.583 32.821 0.060 6.672
37564120 -115.586 32.825 10.75 2.9 -115.586 32.825 0.055 6.085
37564264 -115.585 32.824 10.76 1.5 -115.585 32.824 0.056 6.239
37564272 -115.586 32.826 10.79 1.5 -115.586 32.826 0.054 5.992
37564448 -115.585 32.825 10.79 1.4 -115.585 32.825 0.055 6.146
37564680 -115.585 32.826 10.88 1.7 -115.586 32.825 0.054 6.054
37564928 -115.586 32.823 10.94 1.7 -115.585 32.824 0.056 6.271
37565080 -115.586 32.825 10.82 1.4 -115.586 32.825 0.055 6.085
37565240 -115.589 32.827 10.66 1.0 -115.587 32.828 0.051 5.716
37565392 -115.586 32.825 10.75 1.3 -115.586 32.825 0.055 6.085
37567656 -115.587 32.823 10.25 1.6 -115.585 32.824 0.056 6.210
37567664 -115.588 32.823 10.25 1.6 -115.585 32.825 0.055 6.149
37391759 -115.605 32.839 10.71 1.3 -115.598 32.844 0.033 3.623
37618752 -115.604 32.837 10.52 1.2 -115.597 32.842 0.035 3.870
37418239 -115.582 32.820 10.68 1.3 -115.582 32.820 0.061 6.794
