ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
10758533 -115.567 32.790 10.37 1.2 -115.575 32.800 0.043 4.755
11022717 -115.569 32.802 11.61 1.4 -115.570 32.804 0.049 5.456
15241289 -115.578 32.793 8.02 1.9 -115.580 32.795 0.036 4.044
11281282 -115.572 32.803 11.46 1.7 -115.572 32.803 0.047 5.275
15346089 -115.568 32.802 11.65 1.3 -115.570 32.804 0.050 5.540
11390674 -115.568 32.802 11.66 1.2 -115.570 32.804 0.050 5.540
37268928 -115.559 32.807 10.96 1.2 -115.562 32.811 0.060 6.661
37283080 -115.570 32.801 11.55 1.7 -115.572 32.803 0.048 5.299
37283096 -115.571 32.802 11.57 1.0 -115.572 32.803 0.048 5.287
37283272 -115.573 32.803 11.51 1.4 -115.572 32.802 0.047 5.191
37283336 -115.572 32.804 11.63 1.4 -115.571 32.803 0.048 5.347
37303048 -115.576 32.816 11.39 1.7 -115.568 32.806 0.053 5.879
37233229 -115.574 32.806 11.28 1.6 -115.571 32.803 0.048 5.323
37340304 -115.558 32.806 10.90 1.2 -115.562 32.811 0.060 6.673
37340296 -115.558 32.806 10.91 1.7 -115.562 32.811 0.060 6.673
37245487 -115.559 32.807 10.93 1.4 -115.562 32.811 0.060 6.661
37485120 -115.557 32.801 10.09 1.3 -115.564 32.809 0.058 6.395
37499312 -115.579 32.819 11.12 1.6 -115.568 32.806 0.053 5.843
37499320 -115.579 32.819 11.09 1.3 -115.568 32.806 0.053 5.843
37336103 -115.568 32.802 11.69 1.2 -115.570 32.804 0.050 5.540
37475567 -115.570 32.802 11.03 1.1 -115.571 32.803 0.048 5.371
37475671 -115.571 32.802 10.98 1.2 -115.572 32.803 0.048 5.287
37778824 -115.559 32.807 10.91 1.3 -115.562 32.811 0.060 6.661
37575607 -115.570 32.802 11.56 1.1 -115.571 32.803 0.048 5.371
37729263 -115.569 32.801 11.52 1.1 -115.571 32.803 0.048 5.383
38109000 -115.564 32.793 10.21 1.8 -115.572 32.802 0.047 5.225
37910679 -115.578 32.815 11.15 1.8 -115.569 32.805 0.051 5.638
37910759 -115.579 32.819 11.08 1.5 -115.568 32.806 0.053 5.843
38201048 -115.571 32.793 9.61 1.1 -115.576 32.799 0.042 4.635
38201056 -115.571 32.793 9.60 1.3 -115.576 32.799 0.042 4.635
38358864 -115.560 32.801 9.39 1.6 -115.566 32.808 0.055 6.142
38349279 -115.575 32.792 8.05 2.5 -115.579 32.797 0.038 4.225
38615624 -115.569 32.788 8.66 1.5 -115.577 32.798 0.040 4.441
38248122 -115.573 32.805 11.29 1.1 -115.571 32.803 0.048 5.335
38253994 -115.574 32.806 11.28 1.7 -115.571 32.803 0.048 5.323
37430981 -115.574 32.806 11.34 1.6 -115.571 32.803 0.048 5.323
39227664 -115.572 32.803 11.20 1.4 -115.572 32.803 0.047 5.275
39227672 -115.572 32.803 11.12 1.1 -115.572 32.803 0.047 5.275
39230368 -115.571 32.805 11.44 1.3 -115.570 32.804 0.049 5.504
39230376 -115.571 32.805 11.45 1.3 -115.570 32.804 0.049 5.504
39008695 -115.575 32.804 11.01 1.3 -115.573 32.802 0.046 5.094
39017399 -115.568 32.800 11.33 1.2 -115.571 32.803 0.049 5.395
39017703 -115.568 32.800 11.28 1.2 -115.571 32.803 0.049 5.395
39069455 -115.568 32.802 11.69 0.9 -115.570 32.804 0.050 5.540
39110399 -115.570 32.802 11.47 1.3 -115.571 32.803 0.048 5.371
37438989 -115.571 32.802 11.49 0.9 -115.572 32.803 0.048 5.287
39110407 -115.571 32.802 11.50 1.6 -115.572 32.803 0.048 5.287
39126007 -115.571 32.803 11.53 1.3 -115.571 32.803 0.048 5.359
37440645 -115.571 32.803 11.57 1.5 -115.571 32.803 0.048 5.359
39126015 -115.571 32.803 11.50 1.4 -115.571 32.803 0.048 5.359
39126023 -115.571 32.804 11.45 1.6 -115.571 32.804 0.049 5.432
39126031 -115.573 32.805 11.38 1.5 -115.571 32.803 0.048 5.335
39223599 -115.577 32.806 10.96 1.2 -115.573 32.801 0.046 5.070
39223663 -115.576 32.806 10.96 1.5 -115.573 32.802 0.046 5.155
39368159 -115.554 32.797 9.88 1.6 -115.564 32.809 0.057 6.359
39446135 -115.569 32.801 11.53 1.3 -115.571 32.803 0.048 5.383
37303996 -115.569 32.801 11.54 1.2 -115.571 32.803 0.048 5.383
39446143 -115.569 32.801 11.52 1.2 -115.571 32.803 0.048 5.383
39446151 -115.569 32.801 11.55 1.3 -115.571 32.803 0.048 5.383
39658927 -115.575 32.807 11.21 1.4 -115.571 32.803 0.048 5.312
39909200 -115.570 32.802 11.56 1.8 -115.571 32.803 0.048 5.371
39909216 -115.570 32.802 11.59 1.6 -115.571 32.803 0.048 5.371
39909224 -115.570 32.803 11.63 1.5 -115.571 32.804 0.049 5.444
39909232 -115.569 32.802 11.60 1.4 -115.570 32.804 0.049 5.456
37326068 -115.568 32.807 12.26 1.1 -115.567 32.806 0.053 5.902
39904127 -115.559 32.807 10.90 2.0 -115.562 32.811 0.060 6.661
39906167 -115.555 32.803 10.81 1.6 -115.562 32.811 0.060 6.709
