ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14624100 -115.489 32.750 8.39 1.7 -115.492 32.748 0.173 19.270
31869759 -115.500 32.761 10.42 1.5 -115.500 32.761 0.158 17.576
37174573 -115.510 32.762 9.31 1.2 -115.504 32.766 0.152 16.872
14687932 -115.492 32.743 9.57 1.4 -115.490 32.745 0.178 19.737
14721884 -115.487 32.747 8.71 1.2 -115.490 32.745 0.177 19.671
10796197 -115.502 32.756 9.99 2.5 -115.499 32.758 0.161 17.918
10937261 -115.504 32.755 10.13 1.7 -115.499 32.758 0.161 17.889
14997844 -115.504 32.760 10.80 2.0 -115.501 32.762 0.157 17.425
10980469 -115.524 32.783 11.34 2.1 -115.518 32.787 0.126 14.066
15165465 -115.505 32.755 10.03 1.4 -115.499 32.759 0.160 17.828
15178521 -115.504 32.754 10.01 1.8 -115.498 32.758 0.162 17.982
15178529 -115.503 32.753 10.05 2.1 -115.498 32.757 0.163 18.136
15224689 -115.500 32.755 10.21 2.9 -115.498 32.757 0.163 18.133
15224945 -115.500 32.755 10.12 1.7 -115.498 32.757 0.163 18.133
15270785 -115.485 32.745 8.74 1.6 -115.488 32.743 0.180 19.979
15274705 -115.490 32.753 10.23 1.9 -115.494 32.751 0.170 18.931
11338898 -115.525 32.783 11.30 2.4 -115.518 32.788 0.126 14.004
11338914 -115.524 32.782 11.41 1.4 -115.517 32.786 0.127 14.158
15442353 -115.499 32.750 9.51 2.8 -115.495 32.753 0.168 18.659
15442361 -115.500 32.751 9.70 1.7 -115.496 32.754 0.166 18.505
15442369 -115.499 32.749 9.45 1.5 -115.494 32.752 0.169 18.752
15442401 -115.499 32.749 9.46 2.1 -115.494 32.752 0.169 18.752
15442409 -115.499 32.749 9.51 2.2 -115.494 32.752 0.169 18.752
15442425 -115.485 32.726 10.14 1.7 -115.480 32.730 0.196 21.744
15442441 -115.485 32.726 10.21 1.5 -115.480 32.730 0.196 21.744
15442449 -115.485 32.726 10.27 1.4 -115.480 32.730 0.196 21.744
15442457 -115.485 32.726 10.29 1.6 -115.480 32.730 0.196 21.744
15442465 -115.485 32.726 10.29 1.4 -115.480 32.730 0.196 21.744
37249256 -115.503 32.754 10.13 1.7 -115.498 32.757 0.162 18.043
37339384 -115.499 32.755 9.83 1.9 -115.497 32.756 0.164 18.195
37404584 -115.483 32.737 9.42 1.4 -115.484 32.736 0.187 20.845
37192951 -115.496 32.753 8.81 1.5 -115.495 32.753 0.167 18.564
37208087 -115.488 32.750 9.63 1.4 -115.492 32.748 0.174 19.332
37212095 -115.460 32.714 7.23 2.0 -115.467 32.710 0.219 24.387
37212135 -115.460 32.714 7.29 1.6 -115.467 32.710 0.219 24.387
37323831 -115.506 32.761 10.65 1.4 -115.502 32.764 0.155 17.209
37574240 -115.506 32.759 9.83 1.5 -115.501 32.762 0.156 17.395
37812224 -115.476 32.722 7.98 2.3 -115.475 32.723 0.204 22.666
37656655 -115.475 32.733 9.64 1.2 -115.480 32.730 0.195 21.705
37657967 -115.475 32.733 9.65 1.3 -115.480 32.730 0.195 21.705
37394437 -115.475 32.732 9.66 1.1 -115.479 32.729 0.196 21.798
37658815 -115.476 32.729 9.34 1.3 -115.478 32.727 0.198 22.016
37660639 -115.474 32.734 9.42 1.1 -115.480 32.730 0.195 21.674
37755743 -115.480 32.745 9.46 1.2 -115.487 32.740 0.182 20.285
37755943 -115.480 32.745 9.53 1.7 -115.487 32.740 0.182 20.285
37758631 -115.499 32.751 10.17 1.6 -115.495 32.753 0.167 18.566
38017464 -115.478 32.742 9.12 1.4 -115.485 32.737 0.186 20.686
38017536 -115.478 32.742 9.06 1.5 -115.485 32.737 0.186 20.686
38172024 -115.529 32.794 10.95 1.2 -115.524 32.797 0.115 12.738
37943991 -115.501 32.751 10.05 2.0 -115.496 32.754 0.166 18.444
37269034 -115.484 32.738 9.24 1.2 -115.485 32.737 0.186 20.691
38226880 -115.504 32.759 10.80 1.7 -115.501 32.761 0.158 17.517
38412776 -115.503 32.758 10.79 1.8 -115.500 32.760 0.159 17.671
38586088 -115.485 32.746 8.76 1.5 -115.489 32.743 0.179 19.886
38465111 -115.488 32.726 9.21 2.1 -115.481 32.731 0.194 21.561
38932607 -115.487 32.742 10.05 1.4 -115.488 32.742 0.181 20.136
39008567 -115.484 32.740 10.11 2.2 -115.486 32.739 0.184 20.505
38602458 -115.488 32.743 10.25 1.8 -115.488 32.743 0.180 19.982
39593287 -115.489 32.744 10.09 1.2 -115.489 32.744 0.178 19.828
39593311 -115.489 32.744 10.08 1.5 -115.489 32.744 0.178 19.828
37328484 -115.499 32.750 10.07 2.6 -115.495 32.753 0.168 18.659
39773447 -115.456 32.709 9.25 1.3 -115.463 32.704 0.226 25.096
39883391 -115.508 32.759 9.78 1.5 -115.502 32.763 0.155 17.273
37486805 -115.507 32.759 9.77 1.6 -115.501 32.763 0.156 17.334
39883399 -115.508 32.758 9.67 1.8 -115.501 32.762 0.156 17.366
39883407 -115.508 32.759 9.81 2.6 -115.502 32.763 0.155 17.273
39883415 -115.508 32.759 9.98 2.2 -115.502 32.763 0.155 17.273
39883423 -115.509 32.760 9.76 1.9 -115.503 32.764 0.154 17.119
39883439 -115.509 32.760 9.98 1.6 -115.503 32.764 0.154 17.119
39883535 -115.510 32.760 9.63 1.6 -115.503 32.765 0.153 17.058
