ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
10544317 -115.445 32.784 9.98 1.8 -115.438 32.776 0.136 15.106
10144162 -115.446 32.785 9.91 1.7 -115.438 32.775 0.136 15.094
10546117 -115.446 32.785 10.44 1.2 -115.438 32.775 0.136 15.094
14606740 -115.441 32.779 9.31 1.4 -115.438 32.775 0.136 15.082
14606756 -115.440 32.778 9.63 1.4 -115.438 32.775 0.136 15.094
14606812 -115.439 32.777 9.56 1.5 -115.438 32.776 0.136 15.105
14624100 -115.489 32.750 8.39 1.7 -115.480 32.739 0.080 8.931
14687932 -115.492 32.743 9.57 1.4 -115.485 32.735 0.073 8.171
10666589 -115.432 32.761 10.49 1.5 -115.442 32.772 0.131 14.537
14721884 -115.487 32.747 8.71 1.2 -115.480 32.739 0.080 8.883
14774644 -115.435 32.766 9.73 1.7 -115.441 32.773 0.132 14.646
14861172 -115.447 32.790 9.11 1.7 -115.436 32.777 0.138 15.372
14861420 -115.446 32.788 9.03 1.8 -115.436 32.777 0.138 15.312
14861428 -115.446 32.789 8.97 2.0 -115.436 32.777 0.138 15.384
14861612 -115.447 32.791 9.41 1.4 -115.435 32.778 0.139 15.445
14861620 -115.445 32.786 9.01 1.7 -115.437 32.776 0.137 15.251
14861628 -115.445 32.787 9.13 1.9 -115.436 32.777 0.138 15.324
14861668 -115.446 32.790 9.53 1.3 -115.435 32.778 0.139 15.457
14861732 -115.444 32.784 9.21 1.1 -115.437 32.776 0.137 15.191
14861836 -115.443 32.785 9.60 1.2 -115.436 32.777 0.138 15.347
14861852 -115.443 32.785 9.47 1.5 -115.436 32.777 0.138 15.347
10825333 -115.435 32.785 10.67 1.6 -115.432 32.781 0.144 16.022
14871676 -115.436 32.780 9.49 1.5 -115.435 32.778 0.140 15.576
14871796 -115.436 32.779 9.35 1.9 -115.435 32.778 0.139 15.503
14871804 -115.436 32.781 9.56 2.0 -115.434 32.779 0.141 15.648
14871916 -115.434 32.777 9.66 1.8 -115.435 32.778 0.140 15.527
14871924 -115.433 32.776 9.67 1.5 -115.435 32.778 0.140 15.539
14872260 -115.431 32.774 10.22 1.4 -115.435 32.778 0.140 15.563
14872284 -115.430 32.774 10.27 1.4 -115.434 32.779 0.141 15.647
10873221 -115.533 32.699 5.05 1.3 -115.530 32.696 0.014 1.525
10873301 -115.533 32.699 4.95 1.4 -115.530 32.696 0.014 1.525
10874229 -115.533 32.700 4.98 1.8 -115.530 32.696 0.014 1.598
10876253 -115.436 32.773 9.48 1.3 -115.438 32.775 0.136 15.069
10876269 -115.438 32.776 9.23 2.1 -115.438 32.776 0.136 15.117
10876277 -115.438 32.776 9.39 1.3 -115.438 32.776 0.136 15.117
10906285 -115.437 32.768 8.94 1.1 -115.441 32.773 0.132 14.622
10913469 -115.438 32.768 10.16 1.6 -115.442 32.772 0.131 14.538
14962428 -115.439 32.777 9.75 1.7 -115.438 32.776 0.136 15.105
14962652 -115.439 32.776 9.67 1.6 -115.438 32.775 0.135 15.033
14993068 -115.443 32.774 9.46 2.0 -115.442 32.772 0.131 14.551
10961133 -115.435 32.766 9.49 1.8 -115.441 32.773 0.132 14.646
10961717 -115.440 32.778 9.34 2.5 -115.438 32.775 0.136 15.094
10961725 -115.439 32.777 9.46 1.7 -115.438 32.776 0.136 15.105
10961813 -115.440 32.777 9.17 1.4 -115.438 32.775 0.135 15.021
15019044 -115.445 32.787 9.98 1.3 -115.436 32.777 0.138 15.324
15021532 -115.432 32.769 10.12 1.4 -115.438 32.776 0.136 15.116
15021772 -115.432 32.770 10.34 1.1 -115.437 32.776 0.137 15.189
10985701 -115.443 32.784 10.47 1.2 -115.437 32.777 0.137 15.275
10986085 -115.451 32.787 9.10 1.6 -115.440 32.774 0.133 14.817
10990253 -115.432 32.769 9.95 1.6 -115.438 32.776 0.136 15.116
10990261 -115.432 32.769 10.02 1.8 -115.438 32.776 0.136 15.116
10990285 -115.430 32.766 10.21 1.4 -115.438 32.775 0.136 15.068
10990365 -115.430 32.765 10.36 3.0 -115.439 32.775 0.135 14.995
37005119 -115.434 32.773 9.57 1.1 -115.437 32.776 0.137 15.238
10990501 -115.435 32.775 9.45 2.8 -115.436 32.777 0.138 15.298
10990509 -115.434 32.774 9.42 1.5 -115.436 32.777 0.138 15.310
10990517 -115.434 32.772 9.71 1.4 -115.437 32.776 0.136 15.165
10990541 -115.432 32.769 9.60 2.4 -115.438 32.776 0.136 15.116
10990549 -115.428 32.762 10.41 2.1 -115.439 32.775 0.134 14.947
10990589 -115.433 32.770 9.76 1.8 -115.438 32.776 0.136 15.105
10990645 -115.436 32.776 9.20 2.5 -115.437 32.777 0.137 15.286
10990653 -115.436 32.775 9.98 2.4 -115.437 32.776 0.137 15.214
37005127 -115.434 32.773 9.92 2.1 -115.437 32.776 0.137 15.238
10990973 -115.433 32.771 9.62 1.5 -115.437 32.776 0.136 15.177
10991725 -115.437 32.777 9.28 2.1 -115.437 32.777 0.137 15.274
10991741 -115.437 32.777 9.57 2.4 -115.437 32.777 0.137 15.274
10991749 -115.438 32.778 9.55 1.8 -115.437 32.776 0.137 15.262
10991757 -115.436 32.775 9.53 1.6 -115.437 32.776 0.137 15.214
10991765 -115.438 32.778 9.10 2.1 -115.437 32.776 0.137 15.262
10991781 -115.439 32.779 9.50 2.5 -115.437 32.776 0.137 15.250
11035149 -115.431 32.777 10.95 1.8 -115.433 32.780 0.142 15.780
11036141 -115.444 32.786 9.54 1.4 -115.436 32.777 0.138 15.336
11036149 -115.444 32.785 9.43 2.4 -115.437 32.776 0.137 15.263
11036157 -115.444 32.785 9.43 1.6 -115.437 32.776 0.137 15.263
11036165 -115.445 32.787 9.46 2.4 -115.436 32.777 0.138 15.324
11036173 -115.446 32.788 9.51 1.3 -115.436 32.777 0.138 15.312
11036189 -115.443 32.784 9.59 1.5 -115.437 32.777 0.137 15.275
11036181 -115.443 32.784 9.15 1.4 -115.437 32.777 0.137 15.275
11036221 -115.447 32.790 9.10 1.6 -115.436 32.777 0.138 15.372
11036261 -115.447 32.790 10.16 1.6 -115.436 32.777 0.138 15.372
11036301 -115.446 32.789 8.90 1.9 -115.436 32.777 0.138 15.384
11086826 -115.433 32.762 10.40 1.6 -115.442 32.772 0.131 14.525
15147449 -115.442 32.794 9.90 1.7 -115.431 32.781 0.145 16.084
15148801 -115.436 32.771 8.71 1.9 -115.439 32.774 0.134 14.924
15148825 -115.433 32.765 8.85 1.9 -115.440 32.773 0.133 14.742
37072476 -115.433 32.766 8.78 1.7 -115.440 32.774 0.133 14.815
15148841 -115.432 32.766 9.15 1.7 -115.439 32.774 0.134 14.899
15148849 -115.433 32.766 9.04 2.4 -115.440 32.774 0.133 14.815
37072636 -115.434 32.768 8.80 2.2 -115.439 32.774 0.134 14.875
15148889 -115.432 32.765 9.30 2.0 -115.440 32.774 0.133 14.827
15148897 -115.430 32.763 9.15 2.4 -115.440 32.774 0.134 14.851
15148913 -115.429 32.761 9.20 1.9 -115.440 32.774 0.133 14.790
15151369 -115.448 32.784 8.90 1.9 -115.439 32.774 0.134 14.853
15151537 -115.448 32.785 8.71 2.0 -115.439 32.775 0.134 14.926
15151905 -115.446 32.782 8.71 1.5 -115.439 32.774 0.134 14.877
15153305 -115.428 32.770 10.59 1.3 -115.435 32.778 0.140 15.526
15163169 -115.449 32.788 9.75 1.5 -115.438 32.775 0.135 15.059
11129234 -115.448 32.784 8.95 2.0 -115.439 32.774 0.134 14.853
15178049 -115.441 32.770 10.03 1.7 -115.442 32.772 0.130 14.430
15178057 -115.440 32.770 9.92 1.7 -115.442 32.772 0.131 14.514
15180321 -115.440 32.771 9.48 1.5 -115.441 32.773 0.131 14.586
15185265 -115.432 32.760 10.58 1.8 -115.442 32.772 0.130 14.465
15187057 -115.447 32.783 8.75 3.3 -115.439 32.774 0.134 14.865
15187065 -115.448 32.784 8.88 1.6 -115.439 32.774 0.134 14.853
15187761 -115.447 32.782 9.48 1.6 -115.440 32.774 0.133 14.793
37090596 -115.429 32.771 10.35 0.9 -115.435 32.778 0.140 15.514
15270785 -115.485 32.745 8.74 1.6 -115.480 32.739 0.080 8.907
15274705 -115.490 32.753 10.23 1.9 -115.479 32.740 0.082 9.064
15279529 -115.451 32.783 7.96 1.6 -115.442 32.772 0.131 14.528
37106300 -115.432 32.763 9.75 1.6 -115.441 32.773 0.132 14.682
15309817 -115.437 32.768 9.38 1.5 -115.441 32.773 0.132 14.622
15309833 -115.437 32.769 9.29 2.2 -115.441 32.773 0.132 14.695
37110236 -115.447 32.787 9.84 1.1 -115.437 32.776 0.136 15.155
15332993 -115.442 32.772 9.78 1.9 -115.442 32.772 0.130 14.490
15333001 -115.442 32.772 9.90 1.6 -115.442 32.772 0.130 14.490
15333009 -115.442 32.772 9.80 2.3 -115.442 32.772 0.130 14.490
15337769 -115.428 32.762 10.92 1.6 -115.439 32.775 0.134 14.947
11322338 -115.437 32.768 9.58 1.6 -115.441 32.773 0.132 14.622
11322354 -115.437 32.768 9.54 1.6 -115.441 32.773 0.132 14.622
11333898 -115.438 32.778 9.95 1.4 -115.437 32.776 0.137 15.262
15395081 -115.446 32.782 8.33 1.3 -115.439 32.774 0.134 14.877
15396769 -115.443 32.774 9.32 1.6 -115.442 32.772 0.131 14.551
15442425 -115.485 32.726 10.14 1.7 -115.489 32.731 0.068 7.530
15442441 -115.485 32.726 10.21 1.5 -115.489 32.731 0.068 7.530
15442449 -115.485 32.726 10.27 1.4 -115.489 32.731 0.068 7.530
15442457 -115.485 32.726 10.29 1.6 -115.489 32.731 0.068 7.530
15442465 -115.485 32.726 10.29 1.4 -115.489 32.731 0.068 7.530
15472505 -115.446 32.789 9.14 1.8 -115.436 32.777 0.138 15.384
15472521 -115.447 32.790 9.09 1.9 -115.436 32.777 0.138 15.372
15472529 -115.446 32.789 9.34 1.6 -115.436 32.777 0.138 15.384
15472537 -115.446 32.789 9.24 2.0 -115.436 32.777 0.138 15.384
15472545 -115.446 32.788 9.31 1.8 -115.436 32.777 0.138 15.312
15472553 -115.446 32.789 9.36 2.5 -115.436 32.777 0.138 15.384
15472921 -115.443 32.784 9.18 1.6 -115.437 32.777 0.137 15.275
37177021 -115.444 32.785 9.09 1.4 -115.437 32.776 0.137 15.263
15481553 -115.532 32.703 7.23 1.8 -115.528 32.698 0.017 1.899
15482785 -115.531 32.704 6.88 1.6 -115.527 32.699 0.018 2.056
37214272 -115.526 32.700 5.22 1.8 -115.526 32.700 0.020 2.188
15500385 -115.446 32.785 10.32 2.1 -115.438 32.775 0.136 15.094
37236080 -115.476 32.744 9.48 1.5 -115.475 32.743 0.086 9.594
37236152 -115.475 32.742 9.46 1.8 -115.476 32.743 0.086 9.533
37236208 -115.442 32.775 8.89 2.0 -115.440 32.773 0.132 14.707
37236216 -115.442 32.774 8.93 1.9 -115.441 32.773 0.132 14.635
37236328 -115.476 32.744 9.58 1.6 -115.475 32.743 0.086 9.594
37127060 -115.477 32.742 8.76 0.9 -115.477 32.742 0.084 9.364
37237224 -115.472 32.741 9.34 1.6 -115.475 32.744 0.087 9.714
15530337 -115.440 32.771 9.49 1.1 -115.441 32.773 0.131 14.586
37206381 -115.440 32.771 9.46 1.0 -115.441 32.773 0.131 14.586
15535729 -115.444 32.777 9.36 1.5 -115.441 32.773 0.132 14.684
15535985 -115.444 32.778 9.35 1.8 -115.440 32.774 0.133 14.756
15536001 -115.444 32.777 9.30 1.3 -115.441 32.773 0.132 14.684
15536049 -115.443 32.774 9.48 2.3 -115.442 32.772 0.131 14.551
15536089 -115.444 32.777 9.31 2.0 -115.441 32.773 0.132 14.684
37259648 -115.438 32.779 9.08 1.4 -115.436 32.777 0.138 15.335
37208861 -115.438 32.779 9.12 1.2 -115.436 32.777 0.138 15.335
37262864 -115.430 32.766 10.22 1.7 -115.438 32.775 0.136 15.068
