ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14567964 -115.406 32.745 11.31 1.2 -115.408 32.744 0.232 25.825
14568588 -115.419 32.750 11.12 1.6 -115.414 32.753 0.221 24.566
14568620 -115.418 32.749 11.23 2.5 -115.414 32.752 0.222 24.720
14568628 -115.418 32.749 11.02 2.1 -115.414 32.752 0.222 24.720
14568652 -115.418 32.748 11.04 1.9 -115.413 32.751 0.223 24.813
14568788 -115.419 32.751 11.05 1.7 -115.415 32.754 0.220 24.473
14568796 -115.420 32.751 11.07 1.3 -115.415 32.754 0.220 24.412
14569884 -115.407 32.746 11.26 1.9 -115.409 32.745 0.231 25.671
10526349 -115.406 32.744 11.53 1.2 -115.408 32.743 0.233 25.918
25221759 -115.406 32.745 11.31 1.6 -115.408 32.744 0.232 25.825
10529021 -115.406 32.745 11.54 1.8 -115.408 32.744 0.232 25.825
10529965 -115.406 32.746 11.14 1.6 -115.409 32.744 0.231 25.732
10529989 -115.408 32.747 10.88 1.2 -115.410 32.746 0.229 25.517
10530325 -115.407 32.746 11.42 1.6 -115.409 32.745 0.231 25.671
10530501 -115.407 32.747 10.90 1.6 -115.409 32.745 0.230 25.578
10530637 -115.408 32.747 11.07 1.7 -115.410 32.746 0.229 25.517
10530957 -115.408 32.748 11.12 1.8 -115.410 32.747 0.229 25.424
10535613 -115.409 32.749 11.29 3.3 -115.411 32.748 0.227 25.270
10535621 -115.409 32.749 11.26 1.3 -115.411 32.748 0.227 25.270
10536037 -115.405 32.743 11.25 2.6 -115.407 32.742 0.234 26.072
10536109 -115.408 32.749 11.45 2.1 -115.411 32.747 0.228 25.331
10536253 -115.411 32.751 11.13 2.1 -115.412 32.750 0.224 24.962
10536389 -115.406 32.746 11.16 1.8 -115.409 32.744 0.231 25.732
10536405 -115.411 32.752 10.98 2.2 -115.413 32.751 0.224 24.869
10536429 -115.411 32.752 10.94 1.7 -115.413 32.751 0.224 24.869
10536549 -115.410 32.752 10.92 1.4 -115.413 32.750 0.224 24.931
10536581 -115.410 32.751 10.96 1.9 -115.412 32.750 0.225 25.023
10536629 -115.407 32.747 10.60 3.1 -115.409 32.745 0.230 25.578
10536637 -115.407 32.747 11.16 2.4 -115.409 32.745 0.230 25.578
10536645 -115.411 32.752 10.96 2.8 -115.413 32.751 0.224 24.869
14584764 -115.409 32.749 11.14 1.9 -115.411 32.748 0.227 25.270
14584772 -115.408 32.748 11.21 1.8 -115.410 32.747 0.229 25.424
14587500 -115.404 32.745 10.63 1.9 -115.408 32.743 0.233 25.948
10544317 -115.445 32.784 9.98 1.8 -115.438 32.789 0.178 19.819
10144162 -115.446 32.785 9.91 1.7 -115.439 32.790 0.177 19.665
10545293 -115.408 32.748 10.72 1.5 -115.410 32.747 0.229 25.424
10545301 -115.407 32.747 10.82 1.4 -115.409 32.745 0.230 25.578
10545853 -115.418 32.748 9.50 1.9 -115.413 32.751 0.223 24.813
10546117 -115.446 32.785 10.44 1.2 -115.439 32.790 0.177 19.665
