evid lon[deg] lat[deg] depth[km] mag[ML]
37550712 -115.430 32.757 10.81 2.4
37551088 -115.398 32.718 11.07 2.1
37138892 -115.398 32.716 11.35 2.2
37551240 -115.590 32.829 10.79 1.4
37551568 -115.587 32.823 10.26 1.5
37551576 -115.588 32.823 10.15 1.7
37551584 -115.588 32.823 10.21 1.9
37551616 -115.588 32.824 10.47 1.2
37335119 -115.592 32.829 10.49 3.4
37335135 -115.594 32.829 10.42 1.6
37335143 -115.589 32.829 10.73 1.1
37335183 -115.590 32.827 10.62 1.4
37335335 -115.590 32.827 10.54 2.4
37335343 -115.591 32.828 10.34 1.3
37335383 -115.590 32.827 10.43 1.5
37335399 -115.588 32.826 10.62 1.9
37336071 -115.587 32.824 10.43 1.4
37336103 -115.568 32.802 11.69 1.2
37336167 -115.595 32.828 10.33 2.2
37336559 -115.386 32.695 12.27 1.9
37336727 -115.605 32.833 9.90 1.4
37336735 -115.605 32.833 9.89 1.4
37338487 -115.417 32.740 11.19 1.3
37339247 -115.435 32.766 9.62 1.7
37562456 -115.591 32.826 10.18 1.8
37562464 -115.591 32.825 10.12 1.7
37140172 -115.591 32.825 10.09 1.8
37562472 -115.590 32.824 10.10 2.2
37562480 -115.588 32.824 10.38 1.8
37562488 -115.588 32.825 10.45 2.1
37140164 -115.588 32.824 10.40 1.9
37562496 -115.590 32.826 10.20 2.1
37562504 -115.590 32.826 10.42 2.0
37562512 -115.592 32.827 10.45 1.6
37562520 -115.588 32.824 10.24 1.4
37562528 -115.586 32.823 10.46 1.6
37562544 -115.587 32.823 10.31 1.4
37562536 -115.585 32.822 10.42 2.6
37562552 -115.588 32.825 10.36 1.5
37563568 -115.585 32.823 10.80 1.6
37563576 -115.586 32.824 10.73 1.8
37563952 -115.582 32.821 10.96 1.7
37563960 -115.583 32.822 10.89 1.6
37563968 -115.584 32.820 10.44 1.2
37564120 -115.586 32.825 10.75 2.9
37564264 -115.585 32.824 10.76 1.5
37564272 -115.586 32.826 10.79 1.5
37564448 -115.585 32.825 10.79 1.4
37564680 -115.585 32.826 10.88 1.7
37564928 -115.586 32.823 10.94 1.7
37565080 -115.586 32.825 10.82 1.4
37565240 -115.589 32.827 10.66 1.0
37565392 -115.586 32.825 10.75 1.3
37566080 -115.425 32.750 11.02 1.5
37567656 -115.587 32.823 10.25 1.6
37567664 -115.588 32.823 10.25 1.6
37567880 -115.459 32.812 8.95 2.5
37140492 -115.457 32.809 9.11 2.0
37567920 -115.458 32.811 9.05 1.8
37567952 -115.460 32.813 8.72 1.7
37568312 -115.461 32.814 8.83 1.6
37568448 -115.461 32.815 8.93 1.9
37568576 -115.461 32.815 9.17 1.7
37568584 -115.460 32.814 9.03 1.6
37568600 -115.462 32.816 8.85 1.7
37568624 -115.463 32.817 9.01 1.9
37568632 -115.462 32.817 8.85 1.8
37568640 -115.462 32.816 8.69 1.8
37568648 -115.462 32.816 9.05 1.8
37568656 -115.461 32.815 8.96 2.0
37568680 -115.460 32.814 9.10 1.6
37140524 -115.461 32.815 9.03 1.3
37140532 -115.460 32.814 9.57 1.6
37568704 -115.460 32.814 9.57 1.9
37568720 -115.459 32.812 8.82 1.7
37568736 -115.465 32.821 8.60 2.1
37568792 -115.466 32.822 8.54 1.4
37569256 -115.469 32.813 7.15 1.9
37573056 -115.440 32.771 9.79 1.7
37573808 -115.452 32.791 9.09 2.1
37573904 -115.452 32.791 9.04 2.3
37573920 -115.450 32.790 9.12 1.6
37573944 -115.451 32.791 9.08 2.8
37574088 -115.451 32.791 8.95 1.4
37574240 -115.506 32.759 9.83 1.5
37574920 -115.451 32.791 9.02 1.5
37140716 -115.442 32.789 9.29 1.6
37574928 -115.442 32.789 9.49 1.5
37574960 -115.442 32.790 9.27 2.1
37575328 -115.443 32.791 9.22 1.7
37140804 -115.443 32.791 9.13 1.5
37576080 -115.444 32.786 9.41 1.6
37576088 -115.444 32.786 9.44 1.7
37577864 -115.451 32.793 9.14 1.2
37578104 -115.451 32.792 9.08 1.2
37579160 -115.450 32.790 9.71 1.5
37367215 -115.450 32.789 9.64 1.4
37367823 -115.450 32.790 9.81 1.6
37367831 -115.449 32.789 9.76 1.4
37367895 -115.450 32.790 9.69 2.7
37367911 -115.451 32.790 9.61 1.2
37367967 -115.451 32.791 9.77 1.5
37368031 -115.451 32.791 9.79 1.4
37370783 -115.452 32.792 9.60 1.4
37372455 -115.533 32.780 10.35 2.1
37372463 -115.534 32.780 10.35 1.6
37389031 -115.471 32.817 9.40 1.9
37391759 -115.605 32.839 10.71 1.3
37611424 -115.534 32.786 11.22 1.5
37617528 -115.625 32.754 12.25 1.5
37618752 -115.604 32.837 10.52 1.2
37619504 -115.538 32.786 11.00 1.5
37411023 -115.451 32.705 9.19 1.7
37411855 -115.419 32.731 11.04 1.4
37418239 -115.582 32.820 10.68 1.3
37419199 -115.467 32.812 9.11 1.3
37640120 -115.449 32.794 9.65 1.2
37438319 -115.610 32.839 10.24 1.2
37441927 -115.378 32.687 12.91 1.5
37381437 -115.377 32.686 12.96 1.4
37445807 -115.447 32.780 9.36 2.4
37445815 -115.447 32.781 9.38 1.5
37445823 -115.447 32.780 9.46 1.8
37144692 -115.446 32.780 9.25 1.2
37445863 -115.448 32.782 9.33 1.3
37445879 -115.446 32.781 9.17 1.9
37666256 -115.415 32.724 11.71 1.8
37474463 -115.410 32.732 11.00 1.5
37475567 -115.570 32.802 11.03 1.1
37475607 -115.454 32.800 9.09 1.4
37475623 -115.454 32.800 9.12 0.9
37475631 -115.454 32.800 9.07 1.9
37475671 -115.571 32.802 10.98 1.2
37475695 -115.539 32.785 10.93 1.4
37475735 -115.538 32.785 10.98 1.4
37475743 -115.538 32.785 11.01 1.1
37475775 -115.455 32.800 9.15 1.2
37476111 -115.454 32.799 9.12 1.7
37476207 -115.455 32.801 9.31 1.5
37476743 -115.454 32.800 8.94 1.7
37696368 -115.448 32.782 9.48 1.4
37718040 -115.474 32.837 8.65 1.5
37718272 -115.469 32.827 8.67 1.8
37718280 -115.468 32.826 8.68 2.0
37517799 -115.425 32.753 10.17 1.6
37742016 -115.452 32.804 9.15 1.4
37747904 -115.427 32.761 10.63 1.3
37748800 -115.425 32.757 10.66 1.6
37748808 -115.424 32.757 10.59 1.5
37748976 -115.425 32.758 10.47 2.4
37748984 -115.423 32.755 10.74 2.3
37749016 -115.422 32.754 10.77 2.0
37749048 -115.421 32.752 10.64 1.8
37749912 -115.421 32.751 10.99 2.2
37749920 -115.422 32.755 11.20 3.4
37386117 -115.421 32.751 11.14 1.7
37749944 -115.432 32.769 10.15 1.4
37749952 -115.421 32.752 11.09 1.8
37749960 -115.420 32.750 11.16 1.7
37749976 -115.421 32.751 10.97 2.0
37386133 -115.430 32.767 10.30 1.0
37749984 -115.421 32.750 10.99 1.3
37750000 -115.421 32.750 11.03 1.8
37386141 -115.427 32.762 9.96 1.3
37750024 -115.426 32.762 9.96 1.9
37750040 -115.421 32.751 11.05 2.3
37750152 -115.420 32.749 11.11 1.5
37750304 -115.433 32.770 9.00 1.3
37386149 -115.435 32.772 9.65 1.2
37750352 -115.435 32.773 9.70 1.5
37750520 -115.443 32.785 9.68 2.1
37750624 -115.445 32.787 9.32 1.8
37750656 -115.434 32.773 9.98 1.6
37750808 -115.432 32.771 9.53 2.9
37750816 -115.432 32.769 9.95 1.9
37750824 -115.433 32.772 9.53 2.8
37750832 -115.433 32.772 9.55 2.5
37750840 -115.434 32.773 9.58 2.2
37750864 -115.434 32.773 9.61 2.1
37750872 -115.435 32.773 9.68 1.9
37750896 -115.434 32.774 9.52 2.0
37750904 -115.430 32.763 9.10 1.8
37386173 -115.432 32.765 8.95 1.3
37750912 -115.431 32.765 9.04 1.6
37750920 -115.433 32.765 8.66 1.9
37750928 -115.430 32.763 9.13 3.1
37750936 -115.433 32.766 8.93 2.7
37750944 -115.433 32.768 8.83 2.5
37750952 -115.434 32.766 8.44 2.1
37750960 -115.429 32.761 9.25 2.3
37750968 -115.433 32.768 9.08 1.7
37750976 -115.430 32.762 9.40 1.6
37751424 -115.436 32.775 9.28 2.9
37751432 -115.437 32.777 9.56 2.3
37751440 -115.439 32.779 9.48 2.2
37751448 -115.438 32.779 9.45 2.7
37148804 -115.437 32.777 9.19 1.8
37751608 -115.435 32.774 9.85 1.4
37751920 -115.434 32.773 9.77 1.3
37537775 -115.473 32.819 9.48 1.2
37541703 -115.419 32.743 10.16 2.2
37760488 -115.696 32.818 12.27 1.2
37762904 -115.526 32.775 10.48 1.4
37764560 -115.475 32.833 8.37 1.2
37765096 -115.532 32.782 11.16 1.1
37769648 -115.464 32.807 9.19 1.4
37771608 -115.460 32.802 9.12 1.8
37778824 -115.559 32.807 10.91 1.3
37567823 -115.476 32.834 8.65 1.5
37568631 -115.435 32.753 9.34 1.3
37575607 -115.570 32.802 11.56 1.1
37577559 -115.409 32.728 9.61 1.4
37577679 -115.409 32.728 9.60 1.4
37580367 -115.464 32.813 9.21 1.7
37585319 -115.468 32.813 9.14 1.4
37811896 -115.603 32.826 9.59 1.6
37812224 -115.476 32.722 7.98 2.3
37817624 -115.449 32.784 9.54 1.5
37390789 -115.449 32.784 9.56 1.3
37817640 -115.449 32.785 9.56 1.5
37820560 -115.391 32.701 11.54 1.9
37822344 -115.470 32.811 8.34 1.6
37822352 -115.470 32.811 8.28 1.8
37822360 -115.470 32.812 8.27 1.5
37822368 -115.471 32.813 8.26 1.6
37826896 -115.449 32.793 9.24 2.3
37826960 -115.447 32.790 9.30 1.4
37826968 -115.447 32.790 9.18 1.7
37827280 -115.446 32.789 9.19 1.7
37827392 -115.448 32.790 9.59 1.8
37827456 -115.447 32.790 9.58 1.7
37827552 -115.446 32.788 9.10 2.2
37827560 -115.446 32.790 9.38 2.5
37827568 -115.447 32.790 9.15 1.6
37827576 -115.448 32.791 9.28 1.9
37827584 -115.447 32.789 9.51 2.2
37827608 -115.446 32.788 8.95 1.9
37827624 -115.448 32.790 9.41 1.7
37827664 -115.445 32.786 9.08 2.4
37827688 -115.446 32.789 9.28 1.6
37152980 -115.445 32.786 8.96 1.3
37827752 -115.448 32.793 9.09 1.4
37827768 -115.444 32.786 9.38 2.5
37152972 -115.447 32.791 8.49 1.6
37827776 -115.447 32.791 8.57 1.5
37827928 -115.444 32.786 9.01 1.9
37830592 -115.433 32.761 10.89 1.5
37830696 -115.444 32.776 9.68 1.4
37606719 -115.411 32.754 10.26 1.8
37606903 -115.410 32.753 10.21 1.2
37855592 -115.439 32.770 9.63 2.6
37859920 -115.439 32.770 9.50 1.3
37157284 -115.439 32.770 9.52 1.1
37638263 -115.551 32.717 12.27 2.1
37638271 -115.552 32.718 12.17 1.7
37157924 -115.551 32.718 12.09 1.5
37643711 -115.450 32.799 9.09 1.2
37646495 -115.604 32.837 10.41 1.3
37646503 -115.604 32.836 10.40 1.9
37646511 -115.604 32.837 10.36 1.3
37646567 -115.604 32.836 10.40 1.6
37646575 -115.605 32.837 10.33 2.1
37646591 -115.603 32.837 10.33 3.0
37646599 -115.603 32.836 10.34 2.0
37646607 -115.603 32.836 10.37 2.1
37646615 -115.606 32.836 10.24 2.1
37646623 -115.606 32.836 10.23 1.2
37646631 -115.606 32.836 10.13 1.5
37646663 -115.607 32.838 10.31 1.1
37646687 -115.602 32.836 10.43 1.8
37646887 -115.609 32.839 10.27 2.1
37647063 -115.607 32.839 10.52 1.4
37647095 -115.606 32.839 10.54 1.2
37647103 -115.606 32.835 10.12 1.2
37647191 -115.605 32.839 10.64 1.5
37654903 -115.531 32.782 11.30 1.4
37656655 -115.475 32.733 9.64 1.2
37657967 -115.475 32.733 9.65 1.3
37394437 -115.475 32.732 9.66 1.1
37658815 -115.476 32.729 9.34 1.3
37660639 -115.474 32.734 9.42 1.1
37661415 -115.431 32.760 10.47 1.5
37662887 -115.602 32.831 9.96 1.3
37394773 -115.602 32.831 9.99 1.1
37663383 -115.469 32.832 8.28 1.4
37924296 -115.423 32.748 10.94 2.2
37924304 -115.423 32.748 10.91 1.8
37925224 -115.394 32.717 10.63 1.5
37928240 -115.460 32.808 9.40 1.2
37928592 -115.459 32.806 9.36 1.1
37703999 -115.432 32.761 10.42 1.7
37704007 -115.432 32.762 10.38 1.7
37704015 -115.433 32.762 10.36 1.7
37704023 -115.432 32.762 10.33 1.8
37710783 -115.475 32.834 8.62 1.4
37726847 -115.467 32.818 9.13 1.6
37726871 -115.467 32.818 9.47 1.2
37163204 -115.468 32.818 9.22 1.2
37726879 -115.467 32.817 9.18 1.5
37726895 -115.466 32.817 9.20 3.0
37726975 -115.468 32.820 9.21 1.3
37726983 -115.466 32.817 9.39 1.4
37727007 -115.467 32.818 9.25 3.0
37727015 -115.468 32.820 8.90 1.7
37163212 -115.467 32.819 9.05 1.0
37727031 -115.469 32.821 8.94 1.5
37727039 -115.469 32.821 8.90 1.5
37727047 -115.469 32.821 8.89 1.9
37727055 -115.469 32.822 8.96 1.5
37727063 -115.466 32.815 9.46 1.3
37396525 -115.465 32.815 9.45 1.3
37727071 -115.466 32.817 8.93 1.5
37727087 -115.467 32.816 9.48 1.2
37727095 -115.466 32.817 9.00 1.3
37727103 -115.466 32.817 8.72 1.8
37727111 -115.466 32.816 8.90 1.8
37727119 -115.465 32.816 8.82 1.7
37727127 -115.466 32.816 9.52 1.9
37727135 -115.469 32.821 9.19 1.6
37727143 -115.469 32.821 8.99 1.8
37727159 -115.465 32.815 8.90 1.1
37727167 -115.470 32.823 9.15 1.3
37727175 -115.464 32.815 8.86 1.3
37727215 -115.463 32.813 8.77 1.5
37163220 -115.463 32.813 8.82 1.7
37727231 -115.470 32.823 9.25 1.3
37727239 -115.469 32.821 9.28 2.4
37727247 -115.471 32.825 8.94 1.0
37727255 -115.470 32.822 9.31 1.3
37727279 -115.470 32.823 9.18 2.6
37727295 -115.469 32.820 9.26 2.2
37727351 -115.470 32.823 9.23 2.2
37727367 -115.470 32.821 9.35 1.3
37727439 -115.469 32.820 9.36 1.8
37727831 -115.470 32.821 9.47 1.5
37729263 -115.569 32.801 11.52 1.1
37730447 -115.434 32.773 9.93 1.2
37730639 -115.461 32.809 9.13 1.3
37730671 -115.461 32.809 9.11 1.9
37730703 -115.461 32.809 9.15 2.4
37730711 -115.461 32.809 9.02 1.4
37730751 -115.462 32.810 9.07 2.9
37730759 -115.461 32.810 8.80 1.7
37730775 -115.463 32.813 9.12 1.9
37396573 -115.464 32.814 8.99 1.9
37730783 -115.464 32.815 8.85 3.2
37730799 -115.462 32.811 8.69 1.4
37163228 -115.463 32.812 8.53 1.4
37730807 -115.460 32.807 8.88 1.4
37730823 -115.459 32.807 8.83 2.7
37163236 -115.459 32.806 9.03 2.4
37730847 -115.469 32.821 9.39 2.5
37396581 -115.458 32.805 8.97 1.9
37730855 -115.470 32.823 9.41 1.5
37731287 -115.470 32.822 9.44 2.1
37163388 -115.461 32.809 8.82 1.1
37731999 -115.461 32.809 8.86 1.4
37732207 -115.457 32.803 8.81 1.2
37732351 -115.456 32.802 9.11 2.0
37732359 -115.456 32.802 9.01 2.4
37732367 -115.455 32.801 9.01 2.1
37732383 -115.457 32.803 9.24 1.8
37732903 -115.457 32.803 9.14 1.2
37979056 -115.389 32.698 11.64 1.6
37983104 -115.423 32.750 10.23 1.4
37983112 -115.423 32.751 10.27 1.8
37752967 -115.434 32.784 10.60 1.4
37753535 -115.421 32.745 10.92 1.5
37163868 -115.421 32.746 10.88 1.4
37753551 -115.422 32.746 10.92 1.8
37753559 -115.422 32.747 10.87 1.7
37753567 -115.421 32.746 11.04 1.8
37754327 -115.425 32.758 10.91 1.3
37755743 -115.480 32.745 9.46 1.2
37755943 -115.480 32.745 9.53 1.7
37758351 -115.433 32.717 10.26 1.7
37758359 -115.433 32.717 10.29 1.3
37758631 -115.499 32.751 10.17 1.6
37762327 -115.611 32.839 10.17 1.6
37762335 -115.611 32.839 10.16 1.2
37762383 -115.610 32.839 10.19 1.8
37762399 -115.610 32.839 10.16 1.7
37762455 -115.608 32.838 10.27 1.2
37762463 -115.608 32.839 10.24 2.2
37762575 -115.605 32.838 10.69 1.4
37765127 -115.603 32.837 10.72 1.0
37765479 -115.604 32.836 10.47 1.5
37765487 -115.605 32.837 10.57 1.1
37765839 -115.604 32.837 10.71 1.1
37766287 -115.606 32.838 10.57 2.2
37766295 -115.604 32.837 10.50 1.7
37766303 -115.603 32.837 10.72 1.4
38007144 -115.601 32.834 10.58 2.3
38017464 -115.478 32.742 9.12 1.4
38017536 -115.478 32.742 9.06 1.5
38025400 -115.541 32.704 5.72 1.8
38025432 -115.541 32.704 5.76 1.4
38037336 -115.464 32.818 8.09 1.4
37805511 -115.450 32.788 9.15 1.6
37805519 -115.450 32.788 9.19 1.3
37805527 -115.450 32.788 9.19 1.4
37805551 -115.450 32.788 8.99 1.6
37805647 -115.450 32.789 9.16 1.2
37400437 -115.450 32.789 9.12 0.9
37814367 -115.532 32.780 10.45 1.5
37822799 -115.463 32.806 9.06 1.6
37824495 -115.426 32.752 10.78 1.2
37827527 -115.588 32.828 10.73 1.2
37835271 -115.621 32.761 10.81 1.3
37840615 -115.448 32.784 9.29 2.4
37840623 -115.448 32.783 9.44 1.5
37840631 -115.448 32.783 9.28 1.8
37840639 -115.448 32.783 9.30 2.1
37840663 -115.448 32.783 9.30 1.8
37841631 -115.435 32.771 10.10 1.9
38100000 -115.419 32.748 9.91 1.6
38100016 -115.418 32.747 9.87 1.7
37179068 -115.418 32.747 9.82 1.4
38109000 -115.564 32.793 10.21 1.8
37897727 -115.458 32.802 6.74 1.8
37899823 -115.539 32.791 10.99 1.6
37900087 -115.463 32.806 9.19 1.4
37904031 -115.447 32.790 9.10 1.4
37910103 -115.443 32.793 9.58 1.4
37910231 -115.433 32.764 9.70 1.3
37910239 -115.433 32.764 9.68 1.3
37910247 -115.433 32.764 9.69 1.5
37910679 -115.578 32.815 11.15 1.8
37910759 -115.579 32.819 11.08 1.5
37912239 -115.454 32.789 8.69 1.3
38147104 -115.453 32.787 8.73 1.7
38147880 -115.454 32.786 8.97 1.5
38165200 -115.538 32.702 4.88 1.6
38169112 -115.448 32.784 8.94 1.1
38169584 -115.529 32.784 10.80 1.9
37186188 -115.529 32.784 10.86 1.8
38169592 -115.528 32.784 10.92 1.9
38169600 -115.530 32.785 10.72 2.2
38169688 -115.528 32.783 10.76 1.7
38169696 -115.528 32.783 10.81 1.3
38170096 -115.529 32.786 11.27 1.4
38170976 -115.558 32.774 10.38 1.4
37186636 -115.528 32.785 11.07 1.8
38171312 -115.529 32.786 11.03 2.0
38171360 -115.453 32.795 9.17 1.7
38171432 -115.531 32.781 10.23 1.8
38171448 -115.530 32.781 10.32 1.9
38171472 -115.530 32.781 10.39 1.5
38171480 -115.530 32.781 10.44 1.4
38171488 -115.530 32.780 10.22 1.6
38172024 -115.529 32.794 10.95 1.2
37943991 -115.501 32.751 10.05 2.0
38193128 -115.690 32.825 9.60 2.2
38196904 -115.529 32.780 11.05 1.5
38196984 -115.533 32.785 11.30 1.4
38201048 -115.571 32.793 9.61 1.1
38201056 -115.571 32.793 9.60 1.3
37266658 -115.698 32.823 10.93 1.4
37266946 -115.432 32.768 10.08 1.4
37266954 -115.432 32.768 10.05 1.2
37269034 -115.484 32.738 9.24 1.2
37269714 -115.389 32.703 11.15 1.5
37269722 -115.389 32.702 11.14 1.6
37270146 -115.449 32.785 8.82 1.3
37271122 -115.462 32.809 7.89 1.5
37276842 -115.467 32.812 9.47 1.2
38220952 -115.603 32.818 8.72 1.3
38220968 -115.603 32.818 8.71 2.3
38221264 -115.602 32.818 8.77 2.0
38221272 -115.601 32.818 8.71 1.7
38221288 -115.601 32.817 8.74 1.2
38221320 -115.601 32.817 8.69 2.2
38221328 -115.602 32.818 8.71 1.5
38221344 -115.600 32.817 8.69 1.5
38221368 -115.601 32.817 8.66 1.4
38222944 -115.474 32.738 10.03 1.1
38223080 -115.474 32.738 10.00 1.2
38226880 -115.504 32.759 10.80 1.7
38227408 -115.474 32.738 10.03 1.4
38233112 -115.436 32.786 10.65 1.9
38234736 -115.458 32.780 9.40 2.2
38234752 -115.458 32.781 9.45 1.4
38234760 -115.458 32.781 9.42 1.5
38234768 -115.458 32.780 9.31 1.3
38241872 -115.467 32.813 9.05 1.3
38251864 -115.442 32.778 8.07 1.3
38259440 -115.469 32.814 9.06 1.5
38043855 -115.442 32.769 8.84 1.9
38045839 -115.534 32.705 7.48 1.4
37364138 -115.533 32.780 9.91 1.7
37365274 -115.458 32.804 9.24 1.0
37374610 -115.421 32.750 9.60 1.3
37374618 -115.421 32.750 9.59 1.3
37374650 -115.458 32.780 9.51 1.8
37378506 -115.453 32.799 9.23 1.9
37378618 -115.453 32.797 9.06 1.7
37378674 -115.453 32.798 8.97 2.5
37378690 -115.454 32.800 8.79 1.3
37378682 -115.452 32.797 8.93 2.4
37378706 -115.451 32.796 9.06 1.7
37378714 -115.451 32.796 9.07 1.6
37378730 -115.450 32.795 9.28 1.6
37378738 -115.451 32.796 9.02 2.6
37378746 -115.453 32.799 9.05 2.1
37378754 -115.449 32.794 9.15 1.9
37378786 -115.447 32.791 9.26 2.2
37378794 -115.449 32.794 9.08 2.5
38316072 -115.454 32.800 9.23 1.1
38317152 -115.452 32.800 8.70 1.6
38318688 -115.428 32.759 8.91 1.5
37393666 -115.462 32.804 9.17 2.4
38348920 -115.598 32.836 10.87 1.1
38358296 -115.636 32.767 10.63 1.2
38358864 -115.560 32.801 9.39 1.6
38145527 -115.541 32.792 11.10 1.7
38146191 -115.464 32.820 10.06 1.3
38386136 -115.427 32.753 10.70 1.7
37201524 -115.426 32.753 10.75 1.7
38386144 -115.426 32.752 10.73 2.2
38387872 -115.423 32.749 10.21 1.7
38388000 -115.420 32.745 10.04 1.9
38394408 -115.419 32.755 10.70 1.5
38395016 -115.417 32.753 10.63 1.7
38395104 -115.416 32.751 10.68 1.7
38163455 -115.419 32.755 10.39 2.2
38163647 -115.417 32.754 10.61 1.5
38163783 -115.420 32.756 10.38 1.8
37201980 -115.420 32.755 10.35 1.9
38163791 -115.421 32.757 10.55 1.9
38406792 -115.418 32.741 10.17 1.2
38409600 -115.432 32.770 10.15 1.4
38412288 -115.450 32.789 9.35 1.7
38412776 -115.503 32.758 10.79 1.8
38420208 -115.449 32.785 9.26 2.5
38422872 -115.607 32.816 9.67 1.0
38422880 -115.608 32.816 9.69 1.4
38423152 -115.606 32.815 9.67 1.7
38423488 -115.606 32.815 9.65 1.3
38423496 -115.606 32.815 9.63 1.2
38424224 -115.459 32.813 9.16 1.5
38424232 -115.459 32.813 9.19 1.8
38424384 -115.606 32.815 9.65 1.9
38196439 -115.581 32.718 11.11 1.7
38200919 -115.427 32.753 11.54 1.4
38204151 -115.435 32.766 9.51 1.5
37531714 -115.413 32.733 9.78 1.6
37531722 -115.413 32.733 9.66 1.6
37531730 -115.412 32.732 9.81 2.0
37531738 -115.411 32.731 9.90 2.0
37531746 -115.412 32.733 9.96 2.3
37206324 -115.410 32.729 9.98 1.6
37531754 -115.411 32.731 9.95 1.9
37206476 -115.411 32.730 10.07 2.0
37531762 -115.410 32.730 10.05 2.2
37206492 -115.410 32.730 10.12 1.4
37531770 -115.411 32.730 9.71 1.8
37206500 -115.410 32.729 9.77 1.2
37531778 -115.411 32.730 9.81 1.6
37531786 -115.411 32.731 10.01 1.4
37531794 -115.411 32.730 9.67 1.6
37531802 -115.410 32.729 10.01 1.8
37531810 -115.411 32.730 10.13 2.2
37531818 -115.412 32.731 9.82 2.3
37531866 -115.410 32.728 9.83 2.0
37531882 -115.408 32.725 10.04 1.5
37534498 -115.451 32.787 9.17 1.9
38468000 -115.611 32.737 11.56 2.1
38262911 -115.435 32.766 9.58 2.4
38262919 -115.434 32.765 9.59 1.1
38272343 -115.441 32.771 9.90 1.2
38272599 -115.440 32.770 9.89 1.9
38281207 -115.465 32.820 9.24 1.3
38285767 -115.445 32.789 8.88 1.6
37604338 -115.437 32.769 9.49 2.3
37609418 -115.594 32.834 10.91 1.3
38551160 -115.436 32.775 9.86 1.9
38551184 -115.436 32.774 9.87 1.5
37214804 -115.435 32.774 9.85 1.5
38330119 -115.537 32.707 7.87 1.3
38333815 -115.533 32.703 7.93 1.9
38333847 -115.533 32.703 7.96 1.8
38333863 -115.534 32.703 7.51 1.9
38335015 -115.531 32.700 6.95 2.1
38349279 -115.575 32.792 8.05 2.5
38586088 -115.485 32.746 8.76 1.5
38593240 -115.432 32.770 9.84 2.5
38594072 -115.569 32.738 12.21 1.8
38615192 -115.453 32.794 9.48 1.5
38615624 -115.569 32.788 8.66 1.5
38616984 -115.472 32.826 8.84 1.7
38626472 -115.470 32.822 8.82 1.3
38639472 -115.419 32.751 11.14 2.0
38639528 -115.420 32.751 11.13 1.5
38639632 -115.420 32.751 11.11 2.2
38430823 -115.441 32.782 9.19 1.2
37218540 -115.441 32.781 9.26 1.0
38431311 -115.441 32.781 9.51 1.7
38431343 -115.441 32.781 9.58 1.9
38431359 -115.440 32.780 9.54 1.7
38431375 -115.442 32.783 9.19 1.7
38431607 -115.443 32.784 9.43 1.8
38434303 -115.453 32.804 9.09 1.7
38434319 -115.452 32.803 9.07 1.3
38435063 -115.452 32.805 9.40 1.5
38436215 -115.679 32.816 9.06 1.6
38441719 -115.436 32.771 8.69 2.0
38458279 -115.428 32.761 8.34 2.3
38458367 -115.430 32.763 8.39 2.2
38465111 -115.488 32.726 9.21 2.1
38470143 -115.491 32.729 9.05 2.1
38532255 -115.408 32.728 10.45 1.7
38947056 -115.478 32.834 9.01 1.3
38953040 -115.571 32.664 7.92 1.4
38961016 -115.570 32.663 7.54 1.6
38963672 -115.571 32.664 7.99 1.7
38986872 -115.585 32.822 10.91 1.5
39005152 -115.399 32.721 9.93 2.0
39018032 -115.457 32.802 9.46 1.4
39022152 -115.581 32.678 5.70 2.1
39022216 -115.582 32.678 5.87 1.9
39022472 -115.583 32.678 6.42 1.6
39038816 -115.526 32.778 11.24 1.2
38813519 -115.455 32.805 8.69 2.2
38813983 -115.455 32.804 8.54 1.4
38814087 -115.455 32.806 9.03 1.6
38814095 -115.455 32.806 8.82 1.7
38814103 -115.456 32.807 8.91 1.4
38814367 -115.454 32.805 8.93 1.0
37426741 -115.454 32.804 8.94 1.7
38814647 -115.460 32.806 9.25 1.2
38814663 -115.459 32.804 9.23 2.3
38815215 -115.459 32.804 9.08 1.5
38815255 -115.458 32.804 9.01 1.4
38822215 -115.567 32.659 6.11 1.6
38848631 -115.584 32.825 10.93 1.6
38848991 -115.585 32.825 10.89 1.4
39096032 -115.417 32.740 10.37 1.9
37427997 -115.417 32.741 10.36 1.9
39096040 -115.417 32.740 10.44 1.8
37427989 -115.418 32.741 10.40 1.5
39096048 -115.416 32.740 10.37 2.7
39112072 -115.443 32.773 9.76 1.5
39112096 -115.443 32.773 9.82 1.4
39112112 -115.443 32.773 9.79 2.0
39112120 -115.442 32.772 9.92 1.7
37428437 -115.443 32.774 9.68 1.1
37428445 -115.443 32.773 9.87 1.1
39130632 -115.443 32.774 9.91 1.2
39132800 -115.469 32.819 8.32 1.2
38932607 -115.487 32.742 10.05 1.4
38234074 -115.567 32.735 11.69 1.5
38238730 -115.538 32.786 10.53 2.8
38238746 -115.535 32.784 10.49 4.0
38238754 -115.530 32.780 11.07 3.6
38238762 -115.528 32.777 10.63 2.4
38238770 -115.540 32.787 10.51 2.5
38238778 -115.537 32.784 10.29 1.3
37237484 -115.539 32.784 10.25 1.5
37237500 -115.541 32.788 10.59 1.6
38238786 -115.541 32.788 10.47 2.5
38238802 -115.530 32.780 10.98 1.4
38238818 -115.531 32.780 10.86 1.2
38238842 -115.536 32.781 10.02 1.4
38238850 -115.531 32.782 11.04 1.5
38238858 -115.535 32.782 10.26 2.2
