evid lon[deg] lat[deg] depth[km] mag[ML]
14861428 -115.446 32.789 8.97 2.0
14861612 -115.447 32.791 9.41 1.4
14861620 -115.445 32.786 9.01 1.7
14861628 -115.445 32.787 9.13 1.9
14861668 -115.446 32.790 9.53 1.3
14861732 -115.444 32.784 9.21 1.1
14861836 -115.443 32.785 9.60 1.2
14861852 -115.443 32.785 9.47 1.5
10825333 -115.435 32.785 10.67 1.6
14871676 -115.436 32.780 9.49 1.5
14871796 -115.436 32.779 9.35 1.9
14871804 -115.436 32.781 9.56 2.0
14871916 -115.434 32.777 9.66 1.8
14871924 -115.433 32.776 9.67 1.5
14872260 -115.431 32.774 10.22 1.4
14872284 -115.430 32.774 10.27 1.4
10833989 -115.528 32.779 11.11 1.3
10835221 -115.468 32.814 9.73 1.1
14884836 -115.599 32.835 10.52 1.9
10868245 -115.529 32.780 11.07 2.2
10873221 -115.533 32.699 5.05 1.3
10873301 -115.533 32.699 4.95 1.4
10874229 -115.533 32.700 4.98 1.8
10876253 -115.436 32.773 9.48 1.3
10876269 -115.438 32.776 9.23 2.1
10876277 -115.438 32.776 9.39 1.3
14932228 -115.406 32.729 10.83 1.3
10903949 -115.608 32.840 10.48 1.6
36947719 -115.607 32.840 10.48 1.4
10903957 -115.607 32.839 10.45 2.0
10906285 -115.437 32.768 8.94 1.1
10907717 -115.465 32.807 9.17 1.6
10913469 -115.438 32.768 10.16 1.6
14962428 -115.439 32.777 9.75 1.7
14962604 -115.602 32.835 10.32 1.7
14962652 -115.439 32.776 9.67 1.6
10937261 -115.504 32.755 10.13 1.7
14988132 -115.423 32.750 10.32 1.9
14988292 -115.402 32.707 11.60 1.6
14993068 -115.443 32.774 9.46 2.0
14997844 -115.504 32.760 10.80 2.0
15001668 -115.465 32.809 9.05 1.4
15001716 -115.465 32.808 9.19 1.9
15001812 -115.464 32.807 9.29 1.8
10961133 -115.435 32.766 9.49 1.8
10961717 -115.440 32.778 9.34 2.5
10961725 -115.439 32.777 9.46 1.7
10961813 -115.440 32.777 9.17 1.4
15009188 -115.469 32.814 9.30 1.8
15009444 -115.468 32.813 9.32 2.0
15009452 -115.468 32.813 9.27 1.9
15017612 -115.462 32.811 8.80 2.2
15017620 -115.461 32.808 8.78 1.9
15017636 -115.464 32.813 9.34 3.0
15017652 -115.464 32.814 8.97 1.6
15017660 -115.460 32.808 9.03 1.8
15017668 -115.464 32.815 8.94 1.9
15017676 -115.459 32.806 8.99 1.8
15017684 -115.465 32.816 8.79 2.3
15017700 -115.466 32.815 9.41 1.4
15017732 -115.458 32.805 8.94 1.5
15017748 -115.465 32.816 9.30 1.5
15017740 -115.466 32.816 9.07 2.0
15017756 -115.458 32.804 8.82 2.4
15017764 -115.459 32.807 9.08 2.8
15017772 -115.458 32.804 8.91 1.9
15017788 -115.459 32.804 8.72 1.4
15017796 -115.459 32.807 8.87 1.7
15017804 -115.458 32.805 8.83 1.8
15017812 -115.456 32.803 9.21 1.3
15017820 -115.456 32.802 8.87 1.4
15017876 -115.464 32.811 9.52 1.5
15017892 -115.456 32.801 8.84 2.7
15017900 -115.455 32.800 8.94 1.6
15017908 -115.454 32.800 9.02 2.0
15017916 -115.454 32.799 9.00 1.6
15017956 -115.457 32.803 9.26 1.5
15018028 -115.456 32.802 9.21 1.6
15018404 -115.458 32.804 9.09 2.3
15018420 -115.457 32.802 8.96 1.4
15018412 -115.458 32.805 8.94 3.0
15018428 -115.456 32.802 9.24 1.7
15018468 -115.462 32.808 9.31 1.8
15019044 -115.445 32.787 9.98 1.3
15021532 -115.432 32.769 10.12 1.4
15021772 -115.432 32.770 10.34 1.1
10980469 -115.524 32.783 11.34 2.1
10981301 -115.463 32.817 9.59 1.2
10985701 -115.443 32.784 10.47 1.2
10986085 -115.451 32.787 9.10 1.6
10990253 -115.432 32.769 9.95 1.6
10990261 -115.432 32.769 10.02 1.8
10990285 -115.430 32.766 10.21 1.4
10990365 -115.430 32.765 10.36 3.0
37005119 -115.434 32.773 9.57 1.1
10990501 -115.435 32.775 9.45 2.8
10990509 -115.434 32.774 9.42 1.5
10990517 -115.434 32.772 9.71 1.4
10990541 -115.432 32.769 9.60 2.4
10990549 -115.428 32.762 10.41 2.1
10990589 -115.433 32.770 9.76 1.8
10990645 -115.436 32.776 9.20 2.5
10990653 -115.436 32.775 9.98 2.4
37005127 -115.434 32.773 9.92 2.1
10990973 -115.433 32.771 9.62 1.5
10991725 -115.437 32.777 9.28 2.1
10991741 -115.437 32.777 9.57 2.4
10991749 -115.438 32.778 9.55 1.8
10991757 -115.436 32.775 9.53 1.6
10991765 -115.438 32.778 9.10 2.1
10991781 -115.439 32.779 9.50 2.5
15062452 -115.423 32.748 10.96 2.2
15062460 -115.423 32.749 11.01 1.8
15062468 -115.424 32.750 11.04 1.6
15062476 -115.423 32.748 11.02 1.8
11022717 -115.569 32.802 11.61 1.4
11034309 -115.534 32.785 11.14 1.6
11035149 -115.431 32.777 10.95 1.8
11036141 -115.444 32.786 9.54 1.4
11036149 -115.444 32.785 9.43 2.4
11036157 -115.444 32.785 9.43 1.6
11036165 -115.445 32.787 9.46 2.4
11036173 -115.446 32.788 9.51 1.3
11036189 -115.443 32.784 9.59 1.5
11036181 -115.443 32.784 9.15 1.4
11036221 -115.447 32.790 9.10 1.6
11036261 -115.447 32.790 10.16 1.6
11036269 -115.448 32.792 9.00 1.8
11036277 -115.323 32.724 15.95 2.1
11036285 -115.450 32.792 9.58 2.4
11036293 -115.448 32.791 8.94 1.9
11036301 -115.446 32.789 8.90 1.9
11036309 -115.448 32.792 8.39 2.1
11036357 -115.450 32.795 9.08 1.5
15079444 -115.451 32.795 8.90 2.0
15079460 -115.451 32.795 9.02 1.6
15079484 -115.451 32.795 9.07 1.6
15079564 -115.452 32.797 8.90 1.6
15080060 -115.424 32.756 10.88 1.2
15084580 -115.471 32.813 8.34 1.6
11045221 -115.408 32.728 11.10 1.5
11047117 -115.419 32.742 10.62 1.9
11048269 -115.605 32.836 10.26 1.6
11048277 -115.605 32.835 10.21 1.7
11048469 -115.605 32.837 10.25 1.3
15099020 -115.695 32.821 11.71 1.6
11057973 -115.592 32.828 10.47 1.6
15103316 -115.448 32.793 8.45 1.3
37015919 -115.463 32.805 9.25 1.1
15105124 -115.462 32.805 9.18 1.5
11086826 -115.433 32.762 10.40 1.6
11101890 -115.453 32.798 9.21 1.5
15147449 -115.442 32.794 9.90 1.7
15148801 -115.436 32.771 8.71 1.9
15148825 -115.433 32.765 8.85 1.9
37072476 -115.433 32.766 8.78 1.7
15148841 -115.432 32.766 9.15 1.7
15148849 -115.433 32.766 9.04 2.4
37072636 -115.434 32.768 8.80 2.2
15148889 -115.432 32.765 9.30 2.0
15148897 -115.430 32.763 9.15 2.4
15148913 -115.429 32.761 9.20 1.9
15148961 -115.428 32.759 9.02 1.6
15151369 -115.448 32.784 8.90 1.9
15151537 -115.448 32.785 8.71 2.0
15151905 -115.446 32.782 8.71 1.5
15153305 -115.428 32.770 10.59 1.3
15163169 -115.449 32.788 9.75 1.5
15165465 -115.505 32.755 10.03 1.4
11129234 -115.448 32.784 8.95 2.0
15177905 -115.428 32.752 9.17 1.8
15178049 -115.441 32.770 10.03 1.7
15178057 -115.440 32.770 9.92 1.7
15178521 -115.504 32.754 10.01 1.8
15178529 -115.503 32.753 10.05 2.1
15180321 -115.440 32.771 9.48 1.5
15180601 -115.520 32.769 9.79 1.5
15181217 -115.469 32.822 8.63 1.6
15185265 -115.432 32.760 10.58 1.8
15187057 -115.447 32.783 8.75 3.3
15187065 -115.448 32.784 8.88 1.6
15187761 -115.447 32.782 9.48 1.6
15190889 -115.600 32.835 10.51 1.3
15193057 -115.429 32.758 9.95 1.7
